seqid	category	marker	length	gc_pct
MPDB001293	Fungi	ITS	527	45.54
MPDB001294	Fungi	ITS	540	47.22
MPDB001295	Fungi	ITS	575	47.3
MPDB001296	Fungi	ITS	569	47.63
MPDB001297	Fungi	ITS	571	47.64
MPDB001298	Fungi	ITS	442	46.61
MPDB001299	Fungi	ITS	557	47.22
MPDB001300	Fungi	ITS	516	57.95
MPDB001301	Fungi	ITS	571	47.29
MPDB001302	Fungi	ITS	358	46.65
MPDB001303	Fungi	ITS	539	46.94
MPDB001304	Fungi	ITS	540	47.59
MPDB001305	Fungi	ITS	539	47.5
MPDB001306	Fungi	ITS	538	47.4
MPDB001307	Fungi	ITS	552	47.1
MPDB001308	Fungi	ITS	557	47.22
MPDB001309	Fungi	ITS	568	47.36
MPDB001310	Fungi	ITS	350	49.71
MPDB001311	Fungi	ITS	546	47.99
MPDB001312	Fungi	ITS	605	47.6
MPDB001313	Fungi	ITS	528	47.35
MPDB001314	Fungi	ITS	402	46.77
MPDB001315	Fungi	ITS	503	47.51
MPDB001316	Fungi	ITS	553	47.2
MPDB001317	Fungi	ITS	538	53.16
MPDB001318	Fungi	ITS	540	52.41
MPDB001319	Fungi	ITS	515	53.01
MPDB001320	Fungi	ITS	513	53.02
MPDB001321	Fungi	ITS	437	52.4
MPDB001322	Fungi	ITS	437	52.17
MPDB001323	Fungi	ITS	560	52.5
MPDB001324	Fungi	ITS	565	52.57
MPDB001325	Fungi	ITS	547	52.47
MPDB001326	Fungi	ITS	556	52.88
MPDB001327	Fungi	ITS	308	56.17
MPDB001328	Fungi	ITS	509	53.24
MPDB001329	Fungi	ITS	250	60.4
MPDB001330	Fungi	ITS	512	52.93
MPDB001331	Fungi	ITS	475	52.0
MPDB001332	Fungi	ITS	456	52.19
MPDB001333	Fungi	ITS	497	53.32
MPDB001334	Fungi	ITS	517	52.8
MPDB001335	Fungi	ITS	586	52.39
MPDB001336	Fungi	ITS	527	52.75
MPDB001337	Fungi	ITS	587	52.64
MPDB001338	Fungi	ITS	523	52.96
MPDB001339	Fungi	ITS	545	52.48
MPDB001340	Fungi	ITS	547	52.47
MPDB001341	Fungi	ITS	254	51.18
MPDB001342	Fungi	ITS	278	62.59
MPDB001343	Fungi	ITS	524	55.15
MPDB001344	Fungi	ITS	620	51.77
MPDB001345	Fungi	ITS	606	52.15
MPDB001346	Fungi	ITS	218	48.62
MPDB001347	Fungi	ITS	526	52.85
MPDB001348	Fungi	ITS	566	53.0
MPDB001349	Fungi	ITS	479	51.36
MPDB001350	Fungi	ITS	552	52.9
MPDB001351	Fungi	ITS	584	52.05
MPDB001352	Fungi	ITS	570	52.63
MPDB001353	Fungi	ITS	547	52.83
MPDB001354	Fungi	ITS	253	49.8
MPDB001355	Fungi	ITS	535	52.9
MPDB001356	Fungi	ITS	528	53.03
MPDB001357	Fungi	ITS	575	52.7
MPDB001358	Fungi	ITS	568	51.76
MPDB001359	Fungi	ITS	218	48.62
MPDB001360	Fungi	ITS	543	44.57
MPDB001361	Fungi	ITS	544	44.3
MPDB001362	Fungi	ITS	518	44.98
MPDB001363	Fungi	ITS	517	44.87
MPDB001364	Fungi	ITS	518	44.59
MPDB001365	Fungi	ITS	518	44.59
MPDB001366	Fungi	ITS	519	45.47
MPDB001367	Fungi	ITS	517	44.49
MPDB001368	Fungi	ITS	521	44.72
MPDB001369	Fungi	ITS	519	44.89
MPDB001370	Fungi	ITS	521	44.91
MPDB001371	Fungi	ITS	517	44.1
MPDB001372	Fungi	ITS	519	45.09
MPDB001373	Fungi	ITS	518	44.98
MPDB001374	Fungi	ITS	516	44.77
MPDB001375	Fungi	ITS	516	44.57
MPDB001376	Fungi	ITS	505	44.75
MPDB001377	Fungi	ITS	491	45.01
MPDB001378	Fungi	ITS	514	44.36
MPDB001379	Fungi	ITS	508	44.49
MPDB001380	Fungi	ITS	506	46.05
MPDB001381	Fungi	ITS	442	44.12
MPDB001382	Fungi	ITS	1172	46.59
MPDB001383	Fungi	ITS	428	45.09
MPDB001384	Fungi	ITS	516	45.54
MPDB001385	Fungi	ITS	514	46.3
MPDB001386	Fungi	ITS	417	45.8
MPDB001387	Fungi	ITS	418	45.69
MPDB001388	Fungi	ITS	517	44.29
MPDB001389	Fungi	ITS	505	44.75
MPDB001390	Fungi	ITS	504	44.84
MPDB001391	Fungi	ITS	541	44.73
MPDB001392	Fungi	ITS	542	44.28
MPDB001393	Fungi	ITS	513	44.64
MPDB001394	Fungi	ITS	508	44.29
MPDB001395	Fungi	ITS	520	44.81
MPDB001396	Fungi	ITS	493	44.22
MPDB001397	Fungi	ITS	477	44.86
MPDB001398	Fungi	ITS	482	44.81
MPDB001399	Fungi	ITS	497	44.87
MPDB001400	Fungi	ITS	560	46.07
MPDB001401	Fungi	ITS	550	44.73
MPDB001402	Fungi	ITS	553	44.67
MPDB001403	Fungi	ITS	427	51.52
MPDB001404	Fungi	ITS	427	51.99
MPDB001405	Fungi	ITS	427	51.76
MPDB001406	Fungi	ITS	504	52.38
MPDB001407	Fungi	ITS	509	53.05
MPDB001408	Fungi	ITS	506	51.98
MPDB001409	Fungi	ITS	515	51.46
MPDB001410	Fungi	ITS	511	52.64
MPDB001411	Fungi	ITS	507	52.47
MPDB001412	Fungi	ITS	579	47.15
MPDB001413	Fungi	ITS	567	46.91
MPDB001414	Fungi	ITS	572	46.85
MPDB001415	Fungi	ITS	568	47.01
MPDB001416	Fungi	ITS	568	46.83
MPDB001417	Fungi	ITS	570	46.84
MPDB001418	Fungi	ITS	707	48.37
MPDB001419	Fungi	ITS	571	47.11
MPDB001420	Fungi	ITS	710	47.32
MPDB001421	Fungi	ITS	560	47.14
MPDB001422	Fungi	ITS	569	47.1
MPDB001423	Fungi	ITS	574	47.21
MPDB001424	Fungi	ITS	576	47.57
MPDB001425	Fungi	ITS	509	46.76
MPDB001426	Fungi	ITS	539	46.75
MPDB001427	Fungi	ITS	545	47.16
MPDB001428	Fungi	ITS	439	46.7
MPDB001429	Fungi	ITS	560	47.32
MPDB001430	Fungi	ITS	545	47.52
MPDB001431	Fungi	ITS	516	47.09
MPDB001432	Fungi	ITS	516	47.48
MPDB001433	Fungi	ITS	537	47.49
MPDB001434	Fungi	ITS	447	46.76
MPDB001435	Fungi	ITS	753	44.89
MPDB001436	Fungi	ITS	500	49.0
MPDB001437	Fungi	ITS	508	46.65
MPDB001438	Fungi	ITS	605	46.78
MPDB001439	Fungi	ITS	564	47.16
MPDB001440	Fungi	ITS	543	47.51
MPDB001441	Fungi	ITS	609	46.63
MPDB001442	Fungi	ITS	448	46.65
MPDB001443	Fungi	ITS	608	46.71
MPDB001444	Fungi	ITS	457	46.39
MPDB001445	Fungi	ITS	471	45.86
MPDB001446	Fungi	ITS	709	47.25
MPDB001447	Fungi	ITS	527	45.54
MPDB001448	Fungi	ITS	520	51.35
MPDB001449	Fungi	ITS	534	47.0
MPDB001450	Fungi	ITS	510	46.86
MPDB001451	Fungi	ITS	549	48.27
MPDB001452	Fungi	ITS	450	46.89
MPDB001453	Fungi	ITS	689	48.91
MPDB001454	Fungi	ITS	523	47.42
MPDB001455	Fungi	ITS	586	54.95
MPDB001456	Fungi	ITS	586	54.61
MPDB001457	Fungi	ITS	588	55.44
MPDB001458	Fungi	ITS	588	54.59
MPDB001459	Fungi	ITS	580	55.34
MPDB001460	Fungi	ITS	583	55.4
MPDB001461	Fungi	ITS	536	55.97
MPDB001462	Fungi	ITS	513	48.93
MPDB001463	Fungi	ITS	577	54.94
MPDB001464	Fungi	ITS	613	54.98
MPDB001465	Fungi	ITS	595	57.31
MPDB001466	Fungi	ITS	575	55.3
MPDB001467	Fungi	ITS	562	56.05
MPDB001468	Fungi	ITS	570	55.44
MPDB001469	Fungi	ITS	560	55.89
MPDB001470	Fungi	ITS	568	55.46
MPDB001471	Fungi	ITS	622	55.14
MPDB001472	Fungi	ITS	595	54.79
MPDB001473	Fungi	ITS	589	55.18
MPDB001474	Fungi	ITS	564	56.03
MPDB001475	Fungi	ITS	522	55.94
MPDB001476	Fungi	ITS	604	54.14
MPDB001477	Fungi	ITS	643	54.43
MPDB001478	Fungi	ITS	595	55.13
MPDB001479	Fungi	ITS	558	58.06
MPDB001480	Fungi	ITS	602	55.15
MPDB001481	Fungi	ITS	593	55.65
MPDB001482	Fungi	ITS	583	54.89
MPDB001483	Fungi	ITS	592	56.42
MPDB001484	Fungi	ITS	593	54.97
MPDB001485	Fungi	ITS	484	57.02
MPDB001486	Fungi	ITS	621	54.91
MPDB001487	Fungi	ITS	613	54.81
MPDB001488	Fungi	ITS	582	54.81
MPDB001489	Fungi	ITS	577	54.94
MPDB001490	Fungi	ITS	554	55.23
MPDB001491	Fungi	ITS	883	54.7
MPDB001492	Fungi	ITS	663	53.85
MPDB001493	Fungi	ITS	548	55.47
MPDB001494	Fungi	ITS	512	56.25
MPDB001495	Fungi	ITS	245	61.63
MPDB001496	Fungi	ITS	598	54.85
MPDB001497	Fungi	ITS	585	55.38
MPDB001498	Fungi	ITS	545	54.68
MPDB001499	Fungi	ITS	545	54.5
MPDB001500	Fungi	ITS	521	53.74
MPDB001501	Fungi	ITS	500	55.0
MPDB001502	Fungi	ITS	484	54.34
MPDB001503	Fungi	ITS	582	53.78
MPDB001504	Fungi	ITS	492	55.49
MPDB001505	Fungi	ITS	517	55.51
MPDB001506	Fungi	ITS	515	54.76
MPDB001507	Fungi	ITS	512	55.08
MPDB001508	Fungi	ITS	488	54.3
MPDB001509	Fungi	ITS	499	54.51
MPDB001510	Fungi	ITS	450	55.78
MPDB001511	Fungi	ITS	499	54.11
MPDB001512	Fungi	ITS	499	54.91
MPDB001513	Fungi	ITS	479	54.7
MPDB001514	Fungi	ITS	541	54.34
MPDB001515	Fungi	ITS	521	54.13
MPDB001516	Fungi	ITS	552	51.09
MPDB001517	Fungi	ITS	500	50.8
MPDB001518	Fungi	ITS	555	52.07
MPDB001519	Fungi	ITS	535	51.21
MPDB001520	Fungi	ITS	542	51.85
MPDB001521	Fungi	ITS	543	51.93
MPDB001522	Fungi	ITS	537	51.4
MPDB001523	Fungi	ITS	536	51.31
MPDB001524	Fungi	ITS	533	51.03
MPDB001525	Fungi	ITS	534	51.31
MPDB001526	Fungi	ITS	538	51.3
MPDB001527	Fungi	ITS	536	51.49
MPDB001528	Fungi	ITS	530	51.13
MPDB001529	Fungi	ITS	532	51.32
MPDB001530	Fungi	ITS	534	51.12
MPDB001531	Fungi	ITS	538	51.49
MPDB001532	Fungi	ITS	532	51.32
MPDB001533	Fungi	ITS	538	51.67
MPDB001534	Fungi	ITS	538	51.49
MPDB001535	Fungi	ITS	537	51.21
MPDB001536	Fungi	ITS	539	51.58
MPDB001537	Fungi	ITS	531	51.22
MPDB001538	Fungi	ITS	536	51.31
MPDB001539	Fungi	ITS	532	51.13
MPDB001540	Fungi	ITS	532	51.5
MPDB001541	Fungi	ITS	538	51.49
MPDB001542	Fungi	ITS	536	51.31
MPDB001543	Fungi	ITS	533	51.41
MPDB001544	Fungi	ITS	541	51.76
MPDB001545	Fungi	ITS	534	51.5
MPDB001546	Fungi	ITS	531	51.22
MPDB001547	Fungi	ITS	543	51.75
MPDB001548	Fungi	ITS	539	51.58
MPDB001549	Fungi	ITS	539	51.76
MPDB001550	Fungi	ITS	531	51.04
MPDB001551	Fungi	ITS	534	51.5
MPDB001552	Fungi	ITS	533	51.22
MPDB001553	Fungi	ITS	534	51.31
MPDB001554	Fungi	ITS	535	51.4
MPDB001555	Fungi	ITS	537	51.77
MPDB001556	Fungi	ITS	537	51.4
MPDB001557	Fungi	ITS	533	51.22
MPDB001558	Fungi	ITS	564	52.13
MPDB001559	Fungi	ITS	566	55.3
MPDB001560	Fungi	ITS	518	55.79
MPDB001561	Fungi	ITS	495	54.95
MPDB001562	Fungi	ITS	534	56.18
MPDB001563	Fungi	ITS	482	55.81
MPDB001564	Fungi	ITS	535	55.51
MPDB001565	Fungi	ITS	538	55.58
MPDB001566	Fungi	ITS	533	55.53
MPDB001567	Fungi	ITS	535	55.51
MPDB001568	Fungi	ITS	534	55.81
MPDB001569	Fungi	ITS	537	55.49
MPDB001570	Fungi	ITS	534	55.62
MPDB001571	Fungi	ITS	535	55.7
MPDB001572	Fungi	ITS	535	55.7
MPDB001573	Fungi	ITS	533	55.53
MPDB001574	Fungi	ITS	535	55.51
MPDB001575	Fungi	ITS	534	55.62
MPDB001576	Fungi	ITS	535	55.7
MPDB001577	Fungi	ITS	535	55.33
MPDB001578	Fungi	ITS	537	55.49
MPDB001579	Fungi	ITS	547	56.12
MPDB001580	Fungi	ITS	534	55.43
MPDB001581	Fungi	ITS	529	55.2
MPDB001582	Fungi	ITS	543	55.43
MPDB001583	Fungi	ITS	530	55.47
MPDB001584	Fungi	ITS	543	55.62
MPDB001585	Fungi	ITS	535	55.33
MPDB001586	Fungi	ITS	536	55.6
MPDB001587	Fungi	ITS	531	55.37
MPDB001588	Fungi	ITS	539	55.29
MPDB001589	Fungi	ITS	546	55.49
MPDB001590	Fungi	ITS	532	55.26
MPDB001591	Fungi	ITS	537	55.49
MPDB001592	Fungi	ITS	531	55.18
MPDB001593	Fungi	ITS	533	55.53
MPDB001594	Fungi	ITS	555	56.04
MPDB001595	Fungi	ITS	548	55.47
MPDB001596	Fungi	ITS	543	55.25
MPDB001597	Fungi	ITS	264	39.77
MPDB001598	Fungi	ITS	648	43.67
MPDB001599	Fungi	ITS	666	43.09
MPDB001600	Fungi	ITS	635	43.15
MPDB001601	Fungi	ITS	559	52.59
MPDB001602	Fungi	ITS	560	52.32
MPDB001603	Fungi	ITS	602	46.84
MPDB001604	Fungi	ITS	600	46.67
MPDB001605	Fungi	ITS	597	46.9
MPDB001606	Fungi	ITS	621	47.99
MPDB001607	Fungi	ITS	601	46.76
MPDB001608	Fungi	ITS	481	46.15
MPDB001609	Fungi	ITS	556	46.94
MPDB001610	Fungi	ITS	576	46.88
MPDB001611	Fungi	ITS	605	47.27
MPDB001612	Fungi	ITS	601	47.25
MPDB001613	Fungi	ITS	633	47.08
MPDB001614	Fungi	ITS	587	46.68
MPDB001615	Fungi	ITS	583	46.83
MPDB001616	Fungi	ITS	585	46.84
MPDB001617	Fungi	ITS	588	47.11
MPDB001618	Fungi	ITS	587	46.68
MPDB001619	Fungi	ITS	594	46.46
MPDB001620	Fungi	ITS	386	46.11
MPDB001621	Fungi	ITS	150	48.67
MPDB001622	Fungi	ITS	372	45.97
MPDB001623	Fungi	ITS	603	47.26
MPDB001624	Fungi	ITS	610	46.56
MPDB001625	Fungi	ITS	613	46.66
MPDB001626	Fungi	ITS	596	46.64
MPDB001627	Fungi	ITS	548	47.26
MPDB001628	Fungi	ITS	466	46.14
MPDB001629	Fungi	ITS	548	47.08
MPDB001630	Fungi	ITS	588	48.64
MPDB001631	Fungi	ITS	546	47.44
MPDB001632	Fungi	ITS	527	46.87
MPDB001633	Fungi	ITS	201	43.28
MPDB001634	Fungi	ITS	606	47.03
MPDB001635	Fungi	ITS	540	47.22
MPDB001636	Fungi	ITS	588	46.94
MPDB001637	Fungi	ITS	743	48.59
MPDB001638	Fungi	ITS	536	46.83
MPDB001639	Fungi	ITS	526	45.82
MPDB001640	Fungi	ITS	635	46.3
MPDB001641	Fungi	ITS	629	46.42
MPDB001642	Fungi	ITS	624	46.15
MPDB001643	Fungi	ITS	591	46.36
MPDB001644	Fungi	ITS	577	47.66
MPDB001645	Fungi	ITS	598	47.16
MPDB001646	Fungi	ITS	556	47.84
MPDB001647	Fungi	ITS	549	48.09
MPDB001648	Fungi	ITS	542	47.79
MPDB001649	Fungi	ITS	554	47.83
MPDB001650	Fungi	ITS	535	47.29
MPDB001651	Fungi	ITS	534	47.57
MPDB001652	Fungi	ITS	536	47.57
MPDB001653	Fungi	ITS	526	47.15
MPDB001654	Fungi	ITS	530	47.17
MPDB001655	Fungi	ITS	555	48.11
MPDB001656	Fungi	ITS	562	47.69
MPDB001657	Fungi	ITS	559	47.94
MPDB001658	Fungi	ITS	562	47.69
MPDB001659	Fungi	ITS	535	47.48
MPDB001660	Fungi	ITS	528	47.16
MPDB001661	Fungi	ITS	533	47.09
MPDB001662	Fungi	ITS	510	47.84
MPDB001663	Fungi	ITS	518	47.88
MPDB001664	Fungi	ITS	549	47.54
MPDB001665	Fungi	ITS	477	47.38
MPDB001666	Fungi	ITS	476	47.48
MPDB001667	Fungi	ITS	476	47.48
MPDB001668	Fungi	ITS	497	47.69
MPDB001669	Fungi	ITS	528	47.16
MPDB001670	Fungi	ITS	536	45.71
MPDB001671	Fungi	ITS	528	46.97
MPDB001672	Fungi	ITS	533	45.22
MPDB001673	Fungi	ITS	529	47.07
MPDB001674	Fungi	ITS	530	47.17
MPDB001675	Fungi	ITS	530	46.98
MPDB001676	Fungi	ITS	531	47.27
MPDB001677	Fungi	ITS	441	46.49
MPDB001678	Fungi	ITS	529	47.45
MPDB001679	Fungi	ITS	527	41.37
MPDB001680	Fungi	ITS	526	46.77
MPDB001681	Fungi	ITS	526	46.77
MPDB001682	Fungi	ITS	390	46.15
MPDB001683	Fungi	ITS	332	45.78
MPDB001684	Fungi	ITS	554	46.57
MPDB001685	Fungi	ITS	530	47.36
MPDB001686	Fungi	ITS	495	47.07
MPDB001687	Fungi	ITS	528	47.35
MPDB001688	Fungi	ITS	528	46.78
MPDB001689	Fungi	ITS	451	47.67
MPDB001690	Fungi	ITS	519	46.82
MPDB001691	Fungi	ITS	531	47.08
MPDB001692	Fungi	ITS	527	47.25
MPDB001693	Fungi	ITS	387	46.51
MPDB001694	Fungi	ITS	530	42.83
MPDB001695	Fungi	ITS	530	47.17
MPDB001696	Fungi	ITS	489	43.97
MPDB001697	Fungi	ITS	553	46.11
MPDB001698	Fungi	ITS	526	47.53
MPDB001699	Fungi	ITS	478	46.65
MPDB001700	Fungi	ITS	491	47.86
MPDB001701	Fungi	ITS	449	47.66
MPDB001702	Fungi	ITS	483	47.83
MPDB001703	Fungi	ITS	536	46.46
MPDB001704	Fungi	ITS	357	41.74
MPDB001705	Fungi	ITS	453	45.7
MPDB001706	Fungi	ITS	424	40.57
MPDB001707	Fungi	ITS	482	43.98
MPDB001708	Fungi	ITS	426	47.42
MPDB001709	Fungi	ITS	537	46.93
MPDB001710	Fungi	ITS	537	46.93
MPDB001711	Fungi	ITS	536	46.27
MPDB001712	Fungi	ITS	435	54.25
MPDB001713	Fungi	ITS	354	49.44
MPDB001714	Fungi	ITS	571	52.71
MPDB001715	Fungi	ITS	527	53.32
MPDB001716	Fungi	ITS	632	51.42
MPDB001717	Fungi	ITS	410	56.59
MPDB001718	Fungi	ITS	577	52.34
MPDB001719	Fungi	ITS	573	52.36
MPDB001720	Fungi	ITS	558	52.33
MPDB001721	Fungi	ITS	570	52.81
MPDB001722	Fungi	ITS	558	52.15
MPDB001723	Fungi	ITS	563	53.11
MPDB001724	Fungi	ITS	572	52.27
MPDB001725	Fungi	ITS	576	52.43
MPDB001726	Fungi	ITS	571	52.19
MPDB001727	Fungi	ITS	572	52.62
MPDB001728	Fungi	ITS	537	54.0
MPDB001729	Fungi	ITS	569	51.85
MPDB001730	Fungi	ITS	578	52.25
MPDB001731	Fungi	ITS	584	52.91
MPDB001732	Fungi	ITS	534	50.0
MPDB001733	Fungi	ITS	277	53.43
MPDB001734	Fungi	ITS	480	50.62
MPDB001735	Fungi	ITS	294	47.28
MPDB001736	Fungi	ITS	325	50.77
MPDB001737	Fungi	ITS	523	53.73
MPDB001738	Fungi	ITS	540	53.33
MPDB001739	Fungi	ITS	559	53.49
MPDB001740	Fungi	ITS	539	53.25
MPDB001741	Fungi	ITS	508	53.94
MPDB001742	Fungi	ITS	520	53.85
MPDB001743	Fungi	ITS	524	53.82
MPDB001744	Fungi	ITS	503	54.27
MPDB001745	Fungi	ITS	340	58.24
MPDB001746	Fungi	ITS	420	52.62
MPDB001747	Fungi	ITS	520	54.42
MPDB001748	Fungi	ITS	398	50.25
MPDB001749	Fungi	ITS	521	54.13
MPDB001750	Fungi	ITS	521	54.13
MPDB001751	Fungi	ITS	521	53.93
MPDB001752	Fungi	ITS	520	54.04
MPDB001753	Fungi	ITS	541	54.34
MPDB001754	Fungi	ITS	684	51.46
MPDB001755	Fungi	ITS	506	55.93
MPDB001756	Fungi	ITS	585	52.48
MPDB001757	Fungi	ITS	418	58.61
MPDB001758	Fungi	ITS	369	59.08
MPDB001759	Fungi	ITS	355	60.28
MPDB001760	Fungi	ITS	517	55.71
MPDB001761	Fungi	ITS	476	56.72
MPDB001762	Fungi	ITS	352	60.8
MPDB001763	Fungi	ITS	353	58.36
MPDB001764	Fungi	ITS	398	59.05
MPDB001765	Fungi	ITS	426	57.51
MPDB001766	Fungi	ITS	453	56.95
MPDB001767	Fungi	ITS	437	57.44
MPDB001768	Fungi	ITS	443	57.11
MPDB001769	Fungi	ITS	439	57.63
MPDB001770	Fungi	ITS	424	55.66
MPDB001771	Fungi	ITS	422	55.92
MPDB001772	Fungi	ITS	435	55.86
MPDB001773	Fungi	ITS	440	56.14
MPDB001774	Fungi	ITS	582	46.05
MPDB001775	Fungi	ITS	591	46.36
MPDB001776	Fungi	ITS	584	46.23
MPDB001777	Fungi	ITS	543	46.41
MPDB001778	Fungi	ITS	316	47.78
MPDB001779	Fungi	ITS	316	47.78
MPDB001780	Fungi	ITS	469	46.48
MPDB001781	Fungi	ITS	472	46.61
MPDB001782	Fungi	ITS	489	46.22
MPDB001783	Fungi	ITS	471	46.71
MPDB001784	Fungi	ITS	482	46.68
MPDB001785	Fungi	ITS	474	45.99
MPDB001786	Fungi	ITS	513	46.2
MPDB001787	Fungi	ITS	515	46.21
MPDB001788	Fungi	ITS	564	46.81
MPDB001789	Fungi	ITS	624	47.44
MPDB001790	Fungi	ITS	587	46.34
MPDB001791	Fungi	ITS	600	46.33
MPDB001792	Fungi	ITS	645	47.75
MPDB001793	Fungi	ITS	624	47.44
MPDB001794	Fungi	ITS	649	46.84
MPDB001795	Fungi	ITS	641	47.27
MPDB001796	Fungi	ITS	641	47.27
MPDB001797	Fungi	ITS	833	47.54
MPDB001798	Fungi	ITS	840	47.5
MPDB001799	Fungi	ITS	653	47.32
MPDB001800	Fungi	ITS	536	46.27
MPDB001801	Fungi	ITS	262	50.76
MPDB001802	Fungi	ITS	537	46.93
MPDB001803	Fungi	ITS	489	46.22
MPDB001804	Fungi	ITS	555	45.95
MPDB001805	Fungi	ITS	480	46.25
MPDB001806	Fungi	ITS	1104	47.74
MPDB001807	Fungi	ITS	548	45.99
MPDB001808	Fungi	ITS	521	46.64
MPDB001809	Fungi	ITS	531	45.95
MPDB001810	Fungi	ITS	1150	47.91
MPDB001811	Fungi	ITS	590	47.12
MPDB001812	Fungi	ITS	565	46.37
MPDB001813	Fungi	ITS	531	45.95
MPDB001814	Fungi	ITS	525	45.9
MPDB001815	Fungi	ITS	527	45.92
MPDB001816	Fungi	ITS	523	45.89
MPDB001817	Fungi	ITS	445	46.29
MPDB001818	Fungi	ITS	728	48.49
MPDB001819	Fungi	ITS	501	46.51
MPDB001820	Fungi	ITS	691	48.48
MPDB001821	Fungi	ITS	689	48.48
MPDB001822	Fungi	ITS	594	46.97
MPDB001823	Fungi	ITS	435	46.9
MPDB001824	Fungi	ITS	684	48.39
MPDB001825	Fungi	ITS	560	46.96
MPDB001826	Fungi	ITS	1185	48.78
MPDB001827	Fungi	ITS	1089	48.58
MPDB001828	Fungi	ITS	1067	49.02
MPDB001829	Fungi	ITS	558	46.95
MPDB001830	Fungi	ITS	524	49.24
MPDB001831	Fungi	ITS	560	46.61
MPDB001832	Fungi	ITS	1083	49.12
MPDB001833	Fungi	ITS	1121	48.88
MPDB001834	Fungi	ITS	515	46.21
MPDB001835	Fungi	ITS	574	46.69
MPDB001836	Fungi	ITS	596	46.64
MPDB001837	Fungi	ITS	558	46.59
MPDB001838	Fungi	ITS	516	46.71
MPDB001839	Fungi	ITS	929	46.61
MPDB001840	Fungi	ITS	933	47.8
MPDB001841	Fungi	ITS	585	47.01
MPDB001842	Fungi	ITS	700	46.43
MPDB001843	Fungi	ITS	593	46.88
MPDB001844	Fungi	ITS	594	46.63
MPDB001845	Fungi	ITS	564	46.99
MPDB001846	Fungi	ITS	564	46.99
MPDB001847	Fungi	ITS	553	46.84
MPDB001848	Fungi	ITS	565	55.75
MPDB001849	Fungi	ITS	2404	49.79
MPDB001850	Fungi	ITS	593	55.14
MPDB001851	Fungi	ITS	611	54.83
MPDB001852	Fungi	ITS	609	55.34
MPDB001853	Fungi	ITS	569	55.36
MPDB001854	Fungi	ITS	573	55.5
MPDB001855	Fungi	ITS	431	53.83
MPDB001856	Fungi	ITS	481	57.59
MPDB001857	Fungi	ITS	562	54.8
MPDB001858	Fungi	ITS	469	56.5
MPDB001859	Fungi	ITS	597	55.28
MPDB001860	Fungi	ITS	581	55.42
MPDB001861	Fungi	ITS	213	63.85
MPDB001862	Fungi	ITS	168	67.26
MPDB001863	Fungi	ITS	184	66.85
MPDB001864	Fungi	ITS	184	67.39
MPDB001865	Fungi	ITS	183	65.57
MPDB001866	Fungi	ITS	170	65.88
MPDB001867	Fungi	ITS	172	68.6
MPDB001868	Fungi	ITS	170	68.82
MPDB001869	Fungi	ITS	181	66.85
MPDB001870	Fungi	ITS	590	57.12
MPDB001871	Fungi	ITS	213	52.58
MPDB001872	Fungi	ITS	537	55.87
MPDB001873	Fungi	ITS	547	56.12
MPDB001874	Fungi	ITS	545	57.25
MPDB001875	Fungi	ITS	512	56.45
MPDB001876	Fungi	ITS	548	56.2
MPDB001877	Fungi	ITS	420	57.14
MPDB001878	Fungi	ITS	574	55.75
MPDB001879	Fungi	ITS	219	62.56
MPDB001880	Fungi	ITS	175	58.86
MPDB001881	Fungi	ITS	509	55.99
MPDB001882	Fungi	ITS	540	53.89
MPDB001883	Fungi	ITS	548	55.47
MPDB001884	Fungi	ITS	554	55.6
MPDB001885	Fungi	ITS	331	55.29
MPDB001886	Fungi	ITS	555	56.04
MPDB001887	Fungi	ITS	750	60.93
MPDB001888	Fungi	ITS	538	62.64
MPDB001889	Fungi	ITS	537	62.57
MPDB001890	Fungi	ITS	536	62.69
MPDB001891	Fungi	ITS	584	61.47
MPDB001892	Fungi	ITS	583	61.41
MPDB001893	Fungi	ITS	574	61.5
MPDB001894	Fungi	ITS	612	61.27
MPDB001895	Fungi	ITS	590	61.69
MPDB001896	Fungi	ITS	596	60.74
MPDB001897	Fungi	ITS	502	61.95
MPDB001898	Fungi	ITS	585	61.54
MPDB001899	Fungi	ITS	548	62.96
MPDB001900	Fungi	ITS	583	62.09
MPDB001901	Fungi	ITS	412	62.38
MPDB001902	Fungi	ITS	553	58.95
MPDB001903	Fungi	ITS	572	58.74
MPDB001904	Fungi	ITS	528	62.69
MPDB001905	Fungi	ITS	575	61.57
MPDB001906	Fungi	ITS	570	61.05
MPDB001907	Fungi	ITS	524	62.6
MPDB001908	Fungi	ITS	552	59.6
MPDB001909	Fungi	ITS	536	62.31
MPDB001910	Fungi	ITS	420	55.95
MPDB001911	Fungi	ITS	569	61.16
MPDB001912	Fungi	ITS	575	61.04
MPDB001913	Fungi	ITS	579	61.83
MPDB001914	Fungi	ITS	1071	53.03
MPDB001915	Fungi	ITS	410	60.24
MPDB001916	Fungi	ITS	406	60.1
MPDB001917	Fungi	ITS	407	58.48
MPDB001918	Fungi	ITS	581	62.48
MPDB001919	Fungi	ITS	578	61.94
MPDB001920	Fungi	ITS	561	62.57
MPDB001921	Fungi	ITS	554	63.0
MPDB001922	Fungi	ITS	616	61.2
MPDB001923	Fungi	ITS	600	61.5
MPDB001924	Fungi	ITS	572	62.94
MPDB001925	Fungi	ITS	528	63.45
MPDB001926	Fungi	ITS	560	61.79
MPDB001927	Fungi	ITS	551	62.61
