seqid	taxid	species	category	accession	length	source	original_header
MPDB001294	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	OR835253.1	540	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|OR835253.1 OR835253.1 Curvularia hawaiiensis strain DUCC15700 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001295	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	OW983650.1	575	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|OW983650.1 OW983650.1 Curvularia hawaiiensis genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene
MPDB001296	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	OW987550.1	569	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|OW987550.1 OW987550.1 Curvularia hawaiiensis genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene
MPDB001297	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	OW987948.1	571	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|OW987948.1 OW987948.1 Curvularia hawaiiensis genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene
MPDB001298	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP266807.1	442	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP266807.1 PP266807.1 Curvularia hawaiiensis isolate Ch-OM internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001299	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP374625.1	557	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP374625.1 PP374625.1 Curvularia hawaiiensis isolate Haneen-A10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001300	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP374626.1	516	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP374626.1 PP374626.1 Curvularia hawaiiensis isolate Haneen-A12 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001301	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP463968.1	571	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP463968.1 PP463968.1 Curvularia hawaiiensis isolate 160KACV small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001302	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP506328.1	358	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP506328.1 PP506328.1 Curvularia hawaiiensis isolate fungi internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001303	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP861219.1	539	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP861219.1 PP861219.1 Curvularia hawaiiensis isolate FL_4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001304	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP861220.1	540	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP861220.1 PP861220.1 Curvularia hawaiiensis isolate FL_6 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001305	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP861222.1	539	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP861222.1 PP861222.1 Curvularia hawaiiensis isolate K_1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001306	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PP861223.1	538	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PP861223.1 PP861223.1 Curvularia hawaiiensis isolate K_2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001307	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PQ219414.1	552	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PQ219414.1 PQ219414.1 Curvularia hawaiiensis isolate Ch1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001308	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PQ312634.1	557	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PQ312634.1 PQ312634.1 Curvularia hawaiiensis isolate L-38_1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001309	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PQ476034.1	568	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PQ476034.1 PQ476034.1 Curvularia hawaiiensis strain AC.assiut2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001310	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PQ522053.1	350	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PQ522053.1 PQ522053.1 Curvularia hawaiiensis isolate S_Fungai4 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001311	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PQ857674.1	546	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PQ857674.1 PQ857674.1 Curvularia hawaiiensis isolate AKU-2020-832 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001312	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PV035705.1	605	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PV035705.1 PV035705.1 Curvularia hawaiiensis isolate MPCS12 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001313	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PV864881.1	528	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PV864881.1 PV864881.1 Curvularia hawaiiensis strain IGPEB 13 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001314	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PV990331.1	402	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PV990331.1 PV990331.1 Curvularia hawaiiensis isolate L1.2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001315	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PX210759.1	503	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PX210759.1 PX210759.1 Curvularia hawaiiensis isolate SO29 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001316	1230527	Helminthosporium hawaiiensis / Curvularia hawaiiensis	fungi	PX271055.1	553	reference	1230527|Helminthosporium hawaiiensis / Curvularia hawaiiensis|fungi|PX271055.1 PX271055.1 Curvularia hawaiiensis isolate GND2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001317	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	AB809639.1	538	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|AB809639.1 AB809639.1 Paraphaeosphaeria michotii genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, strain: KT 2222
MPDB001318	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	JF340243.1	540	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|JF340243.1 JF340243.1 Paraphaeosphaeria michotii strain M15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001319	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	JX496103.1	515	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|JX496103.1 JX496103.1 Paraphaeosphaeria michotii strain CBS 652.86 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001320	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	JX629111.1	513	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|JX629111.1 JX629111.1 Paraphaeosphaeria michotii strain WA0000019030 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001321	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KJ406848.1	437	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KJ406848.1 KJ406848.1 Paraphaeosphaeria michotii clone NY524 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001322	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KJ406851.1	437	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KJ406851.1 KJ406851.1 Paraphaeosphaeria michotii clone NY256 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001323	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KJ939279.1	560	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KJ939279.1 KJ939279.1 Paraphaeosphaeria michotii strain MFLUCC-13-0349 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001324	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KR093907.1	565	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KR093907.1 KR093907.1 Paraphaeosphaeria michotii isolate JSP 03 A 2.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001325	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KT827260.1	547	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KT827260.1 KT827260.1 Paraphaeosphaeria michotii strain FI21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001326	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KU751878.1	556	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KU751878.1 KU751878.1 Paraphaeosphaeria michotii strain 2015-F-275 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001327	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	KY228674.1	308	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|KY228674.1 KY228674.1 Paraphaeosphaeria michotii isolate CL0260_5_2 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001328	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	LN714580.1	509	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|LN714580.1 LN714580.1 Paraphaeosphaeria michotii genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate B2C
MPDB001329	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	LR876473.1	250	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|LR876473.1 LR876473.1 Paraphaeosphaeria michotii genomic DNA sequence contains 5.8S rRNA gene, isolate EW uncultured Paraphaeosphaeria michotii, clone M01452:264:000000000-D5YNG:1:1102:13495:17438
MPDB001330	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MG572395.1	512	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MG572395.1 MG572395.1 Paraphaeosphaeria michotii isolate stone 45 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001331	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MG828933.1	475	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MG828933.1 MG828933.1 Paraphaeosphaeria michotii strain MFLUCC 15-0041 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001332	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MG828934.1	456	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MG828934.1 MG828934.1 Paraphaeosphaeria michotii strain MFLUCC 15-0043 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
MPDB001333	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MH178728.1	497	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MH178728.1 MH178728.1 Paraphaeosphaeria michotii isolate IUB:B.Whitaker:OTU59 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001334	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MH860778.1	517	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|焦斑病 MH860778.1 Paraphaeosphaeria michotii strain CBS 591.73 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001335	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MH861961.1	586	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|焦斑病 MH861961.1 Paraphaeosphaeria michotii strain CBS 340.86 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001336	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MH862008.1	527	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|焦斑病 MH862008.1 Paraphaeosphaeria michotii strain CBS 652.86 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001337	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MK911665.1	587	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MK911665.1 MK911665.1 Paraphaeosphaeria michotii isolate SR30 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001338	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MN173033.1	523	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MN173033.1 MN173033.1 Paraphaeosphaeria michotii culture MUT<ITA_:812 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001339	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MT000378.1	545	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MT000378.1 MT000378.1 Paraphaeosphaeria michotii strain LSU0053 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001340	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MT000428.1	547	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MT000428.1 MT000428.1 Paraphaeosphaeria michotii strain LSU0706 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001341	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MT852531.1	254	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MT852531.1 MT852531.1 Paraphaeosphaeria michotii isolate F-caf-cas516 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence
MPDB001342	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MW157750.1	278	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MW157750.1 MW157750.1 Paraphaeosphaeria michotii isolate 401 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence
MPDB001343	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MW483799.1	524	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MW483799.1 MW483799.1 Paraphaeosphaeria michotii voucher AW3992 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001344	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MZ098686.1	620	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MZ098686.1 MZ098686.1 Paraphaeosphaeria michotii strain ICMP 11777 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001345	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MZ492971.1	606	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MZ492971.1 MZ492971.1 Paraphaeosphaeria michotii strain FeF168 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001346	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	MZ567858.1	218	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|MZ567858.1 MZ567858.1 Paraphaeosphaeria michotii clone SH1687328.08FU internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence
MPDB001347	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	ON130594.1	526	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|ON130594.1 ON130594.1 Paraphaeosphaeria michotii strain YS-3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001348	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	OP076879.1	566	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|OP076879.1 OP076879.1 Paraphaeosphaeria michotii isolate RO nursery air small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001349	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	OQ842752.1	479	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|OQ842752.1 OQ842752.1 Paraphaeosphaeria michotii isolate UWR_378 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001350	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	OQ924429.1	552	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|OQ924429.1 OQ924429.1 Paraphaeosphaeria michotii isolate L2868 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001351	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	OR134752.1	584	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|OR134752.1 OR134752.1 Paraphaeosphaeria michotii isolate SICAUCC 23-0007 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001352	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	OR237610.1	570	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|OR237610.1 OR237610.1 Paraphaeosphaeria michotii isolate M18 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001353	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	OR600348.1	547	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|OR600348.1 OR600348.1 Paraphaeosphaeria michotii isolate MAS_W_3_1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001354	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	PQ741231.1	253	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|PQ741231.1 PQ741231.1 Paraphaeosphaeria michotii clone New.CleanUp.ReferenceOTU8416 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence
MPDB001355	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	PV608536.1	535	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|PV608536.1 PV608536.1 Paraphaeosphaeria michotii strain GY170 isolate KUNCC 25-19134 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001356	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	PV608537.1	528	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|PV608537.1 PV608537.1 Paraphaeosphaeria michotii strain LG1 isolate KUNCC 25-19135 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001357	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	PV608538.1	575	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|PV608538.1 PV608538.1 Paraphaeosphaeria michotii strain QG73 isolate KUNCC 25-19136 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001358	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	PV833215.1	568	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|PV833215.1 PV833215.1 Paraphaeosphaeria michotii isolate 25 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001359	125373	Paraphaeosphaeria michotii / Sphaeria michotii	fungi	PX387417.1	218	reference	125373|Paraphaeosphaeria michotii / Sphaeria michotii|fungi|PX387417.1 PX387417.1 Paraphaeosphaeria michotii clone SH1687328.08FU internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence
MPDB001360	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	MH855239.1	543	reference	13001|Ceratocystis paradoxa/Thielaviopsis paradoxa|fungi|长喙壳叶斑病 MH855239.1 Thielaviopsis paradoxa strain CBS 128.32 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001361	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	MH859867.1	544	reference	13001|Ceratocystis paradoxa/Thielaviopsis paradoxa|fungi|长喙壳叶斑病 MH859867.1 Thielaviopsis paradoxa strain CBS 601.70 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001362	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	OQ422147.1	518	reference	13001|Ceratocystis paradoxa/Thielaviopsis paradoxa|fungi|OQ422147.1 OQ422147.1 Thielaviopsis paradoxa isolate DA028 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
MPDB001363	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	OQ422148.1	517	reference	13001|Ceratocystis paradoxa/Thielaviopsis paradoxa|fungi|OQ422148.1 OQ422148.1 Thielaviopsis paradoxa isolate DA029 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
MPDB001364	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	OQ422149.1	518	reference	13001|Ceratocystis paradoxa/Thielaviopsis paradoxa|fungi|OQ422149.1 OQ422149.1 Thielaviopsis paradoxa isolate AA030 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
