species	taxid	category	raw_refs	source_type	doi_list	pmid_list	resolution_status	notes
Exserohilum rostratum (Setosphaeria rostrata)	1659837	fungi	Xie S N, Li B Y, Ru Y Y, et al. First report of Exserohilum rostratum causing leaf spot on maize (Zea mays) in Henan, China[J]. Plant disease, 2022, 106(6): 1748. Leonard K J, Suggs E G. Setosphaeria prolata, the ascigerous state of Exserohilum prolatum[J]. Mycologia, 1974, 66(2): 281-297.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Exserohilum turcicum (Setosphaeria turcica)	93612	fungi	Kotze R G, Van der Merwe C F, Crampton B G, et al. A histological assessment of the infection strategy of Exserohilum turcicum in maize[J]. Plant Pathology, 2019, 68(3): 504-512.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium acuminatum	5515	fungi	Okello P N, Mathew F M. Cross pathogenicity studies show South Dakota isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from either soybean or corn are pathogenic to both crops[J]. Plant Health Progress, 2019, 20(1): 44-49.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium andiyazi	520446	fungi	Zhang H, Luo W, Pan Y, et al. First report of Fusarium ear rot of maize caused by Fusarium andiyazi in China[J]. Plant disease, 2014, 98(10): 1428-1428.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium asiaticum	282267	fungi	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium avenaceum	40199	fungi	Ma N, Abdul Haseeb H, Xing F, et al. Fusarium avenaceum: A toxigenic pathogen causing ear rot on maize in yunnan province, China[J]. Plant Dis, 2019, 103(6): 1424.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium boothii	282271	fungi	Deressa T, Adugna G, Suresh L M, et al. Fusarium boothii, Fusarium meridionale, and Fusarium temperatum are emerging preharvest maize ear rot pathogens in Ethiopia[J]. Plant Disease, 2025, 109(2): 297-307.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium camptoceras	57143	fungi	Abo-Elyousr K A M, El-Fawy M M, El-Nagar A S, et al. Biochar-based sustainable control of stalk and ear rot in maize caused by Fusarium camptoceras[J]. Journal of Plant Diseases and Protection, 2026, 133(4): 104.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium cerealis / Fusarium crookwellense	56641	fungi	Pfordt A, Schiwek S, Rathgeb A, et al. Occurrence, pathogenicity, and mycotoxin production of Fusarium temperatum in relation to other Fusarium species on maize in Germany[J]. Pathogens, 2020, 9(11): 864.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium chlamydosporum	86545	fungi	Shabana Y M, Ghoneem K M, Rashad Y M, et al. Distribution and biodiversity of seed-borne pathogenic and toxigenic fungi of maize in Egypt and their correlations with weather variables. Plants 11 (18): 2347[EB/OL].(2022) Morales-Rodríguez I, de Yañz-Morales M J, Silva-Rojas H V, et al. Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach[J]. Mycopathologia, 2007, 163(1): 31-39.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium concentricum	48491	fungi	Du Q, Duan C X, Li S C, et al. First report of maize ear rot caused by Fusarium concentricum in China[J]. Plant Disease, 2020, 104(5): 1539.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium culmorum	5516	fungi	Xia L K, Cao Y Y, Wang J, et al. First report of Fusarium culmorum causing maize stalk rot in China[J]. Plant Disease, 2022, 106(5): 1521.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium equiseti	61235	fungi	Swamy S D, Mahadevakumar S, Hemareddy H B, et al. First report of Fusarium equiseti–the incitant of post flowering stalkrot of maize (Zea mays L.) in India[J]. Crop Protection, 2020, 129: 105035.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium globosum	78864	fungi	Moses L M, Marasas W F O, Vismer H F, et al. Molecular characterization of Fusarium globosum strains from South African maize and Japanese wheat[J]. Mycopathologia, 2010, 170(4): 237-249.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium graminearum (Gibberella zeae)	5518	fungi	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium incarnatum (F. semitectum)	298378	fungi	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium kyushuense	56665	fungi	Wang J H, Li H P, Zhang J B, et al. First report of Fusarium maize ear rot caused by Fusarium kyushuense in China[J]. Plant disease, 2014, 98(2): 279-279.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium meridionale	282269	fungi	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium napiforme	42672	fungi	Morales-Rodríguez I, de Yañz-Morales M J, Silva-Rojas H V, et al. Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach[J]. Mycopathologia, 2007, 163(1): 31-39.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium oxysporum	5507	fungi	Okello P N, Petrović K, Kontz B, et al. Eight species of Fusarium cause root rot of corn (Zea mays) in South Dakota[J]. Plant Health Progress, 2019, 20(1): 38-43.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium poae	36050	fungi	Chelkowski J, Lew H, Pettersson H. Fusarium poae (Peck) Wollenw.—Occurrence in maize ears, nivalenol production and mycotoxin accumulation in cobs[J]. Mycotoxin Research, 1994, 10(2): 116-120.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium proliferatum	948311	fungi	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium pseudograminearum	101028	fungi	Jiang H, Ma L G, Qi K, et al. First report of maize seedling blight caused by Fusarium pseudograminearum in China[J]. Plant disease, 2022, 106(9): 2519.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium pseudonygamai	47755	fungi	Chehri K, Zafari D, Nurhazrati M, et al. Natural occurrence of Fusarium species associated with root and stalk rot of maize in Kermanshah Province, Iran[J]. 2010.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium sacchari	42676	fungi	Carrer Filho R, Guimarães M, Abreu V P, et al. Fusarium sacchari associated with stem rot in sweet corn in Brazil[J]. Pesquisa Agropecuária Tropical, 2023, 53: e74263.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium solani (Neocosmospora solani)	169388	fungi	Okello P N, Mathew F M. Cross pathogenicity studies show South Dakota isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from either soybean or corn are pathogenic to both crops[J]. Plant Health Progress, 2019, 20(1): 44-49.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium sporotrichioides	5514	fungi	Wang B B, Guo C, Sun S L, et al. First report of maize ear rot caused by Fusarium sporotrichioides in China[J]. Plant Disease, 2020, 104(2): 567.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium subglutinans	42677	fungi	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium temperatum	1035347	fungi	Fumero M V, Reynoso M M, Chulze S. Fusarium temperatum and Fusarium subglutinans isolated from maize in Argentina[J]. International Journal of Food Microbiology, 2015, 199: 86-92.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium tricinctum	61284	fungi	Yang X, Xu X, Wang S, et al. Identification, pathogenicity, and genetic diversity of Fusarium spp. associated with maize sheath rot in Heilongjiang Province, China[J]. International journal of molecular sciences, 2022, 23(18): 10821.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Fusarium verticillioides (Gibberella moniliformis)	117187	fungi	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Gaeumannomyces graminis	29850	fungi	Freeman J, Ward E. Gaeumannomyces graminis, the take‐all fungus and its relatives[J]. Molecular Plant Pathology, 2004, 5(4): 235-252.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Gibberella fujikuroi (Fusarium fujikuroi)	5127	fungi	O'Donnell K, Cigelnik E, Nirenberg H I. Molecular systematics and phylogeography of the Gibberella fujikuroi species complex[J]. Mycologia, 1998, 90(3): 465-493.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Gloeocercospora sorghi / Microdochium sorghi	1682391	fungi	Velazquez P D. Microdochium sorghi on sorghum in northwestern Entre Ríos, Argentina[J]. 2024.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Gonatobotrys simplex	2713053	fungi	Vakili N G. Mycoparasitic fungi associated with potential stalk rot pathogens of corn[J]. Phytopathology, 1985, 75(11): 1201-1207.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Graphium penicillioides	67620	fungi	Smith D R, White D G. Diseases of corn[J]. Corn and corn improvement, 1988, 18: 687-766.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Harpophora maydis (Cephalosporium maydis/Magnaporthiopsis maydis)	80373	fungi	Samra A S, Sabet K A, Hingorani M K. Late wilt disease of Maize caused by Cephalosporium maydis[J]. 1963.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Helminthosporium hawaiiensis / Curvularia hawaiiensis	1230527	fungi	Suzui T, Kamphangridthrong T. The prevalence of maize and soybean diseases in Thailand[J]. 1979.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Helminthosporium pedicellatum/Exserohilum pedicellatum	119929	fungi	Egunjobi O L A, Norton D C, Martinson C. Interaction of pra tylenchus scribneri and helminthosporium pedicellatum in the etiology of corn root rot[J]. Phytoparasitica, 1986, 14(4): 287-295. Isakeit T, Gao X, Kolomiets M. Exserohilum pedicellatum root rot of corn in Texas[J]. Plant Disease, 2007, 91(5): 634-634.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	145392	fungi	Li G F, Liu K X, Xiao S Q, et al. First report of leaf spot of maize (Zea mays) caused by Bipolaris spicifera in China[J]. Plant Disease, 2016, 100(4): 855-855.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Hyalothyridium maydis / Orphanocoela maydis	NOT_VERIFIED	fungi	Latterell, F. M., & Rossi, A. E. 1984. A new species of Hyalothyridium associated with a leaf spot of maize in Latin America. Mycologia 76(3): 506–514. | NCBI Taxonomy 未收录 Orphanocoela/Hyalothyridium maydis	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Kabatiella zeae (Aureobasidium zeae)	1592451	fungi	Chen N, Xiao S, Sun J, et al. Virulence and molecular diversity in the Kabatiella zeae population causing maize eyespot in China[J]. Plant disease, 2020, 104(12): 3197-3206.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Lasiodiplodia theobromae / Botryodiplodia tubericola	45133	fungi	Ma H X, Zhang H J, Shi J, et al. First report of Lasiodiplodia theobromae causing maize ear rot in Hainan Province in Southern China[J]. Plant Disease, 2016, 100(10): 2160.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Leptosphaeria multiseptata / Entodesmium multiseptatum	NOT_VERIFIED	fungi	MCGEE D C. Maize Diseases. Saint Paul: The American Phytopathological Society Press, 1988. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020. | NCBI Taxonomy 未收录 Leptosphaeria/Entodesmium multiseptata	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Leptosphaeria variiseptata / Phaeosphaeria variiseptata	NOT_VERIFIED	fungi	MUNKVOLD G P, WHITE D G. Compendium of Corn Diseases. 4th ed. Saint Paul: The American Phytopathological Society Press, 2016. | NCBI Taxonomy 未收录 Leptosphaeria/Phaeosphaeria variiseptata	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Leptosphaerulina australis	318710	fungi	Liu Y, Wu S, Li X, et al. Occurrence of maize leaf spot disease caused by Leptosphaerulina australis in Yunnan, China[J]. Plant Disease, 2024, 108(11): 3407.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Macrophomina phaseolina	35725	fungi	Marquez N, Giachero M L, Declerck S, et al. Macrophomina phaseolina: General characteristics of pathogenicity and methods of control[J]. Frontiers in plant science, 2021, 12: 634397.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Marasmiellus inoderma	3021703	fungi	Sabet K A, Ashour W A, Samra A S, et al. Root-rot of maize caused by Marasmiellus inoderma[J]. Transactions of the British Mycological Society, 1970, 54(1): 123-IN15.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Marasmius graminum var. brevispora / Marasmius graminum	160937	fungi	PONT W. STUDIES ON ROOT ROT AND STALK ROT OF MAIZE IN NORTH QUEENSLAND CAUSED BY MARASMIUS SACCHARI WAKKER VAR.. HAW AIIENSIS COBB AND[J]. Queensland Journal of Agricultural and Animal Sciences, 1973, 30: 3.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Marasmius sacchari var. hawaiiensis / Marasmius sacchar	2075139	fungi	PONT W. STUDIES ON ROOT ROT AND STALK ROT OF MAIZE IN NORTH QUEENSLAND CAUSED BY MARASMIUS SACCHARI WAKKER VAR.. HAW AIIENSIS COBB AND[J]. Queensland Journal of Agricultural and Animal Sciences, 1973, 30: 3.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Microdochium bolleyi	196109	fungi	Stojkov S. The study of Microdochium bolleyi (Sprague) De Hoog and Hermandies-Nijof the fungus causing root rot of maize[J]. 1993.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Microdochium seminicola	1682390	fungi	Ferreira L C, de Moura V A S, Resende Jr M F R, et al. Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease[J]. Phytobiomes Journal, 2025, 9(4): 620-635.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Monographella maydis/Microdochium maydis	NOT_VERIFIED	fungi	Müller E, Samuels G J. Monographella maydis sp. nov. and its connection to the tar-spot disease of Zea mays[J]. 1984. | NCBI Taxonomy 未收录 Microdochium/Monographella maydis	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Mucor circinelloides	36080	fungi	Purwantisari S, Nurbayani F A, Safina M F I, et al. Antagonistic activity of Trichoderma harzianum against Aspergillus parasiticus and Mucor circinelloides in corn plant (Zea mays L.)[J]. PLANTA TROPIKA, 2025, 13(1): 38-51.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Mycosarcoma maydis (Ustilago maydis)	5270	fungi	Kämper J, Kahmann R, Bölker M, et al. Insights from the genome of the biotrophic fungal plant pathogen Ustilago maydis[J]. Nature, 2006, 444(7115): 97-101.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Nigrospora oryzae (Khuskia oryzae)	335854	fungi	Balendres M A, Calabon M, Cortes A, et al. Nigrospora[M]//Compendium of Phytopathogenic Microbes in Agro-Ecology: Vol. 1 Fungi. Cham: Springer Nature Switzerland, 2025: 503-529.	book_or_compendium			UNRESOLVED	no explicit DOI/PMID in raw citation block
Paraphaeosphaeria michotii / Sphaeria michotii	125373	fungi	Ferreira L C, de Moura V A S, Resende Jr M F R, et al. Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease[J]. Phytobiomes Journal, 2025, 9(4): 620-635.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Penicillium chrysogenum	5076	fungi	Hill P. 1972. The Production of Penicillins in Soils and Seeds by Penicillium chrysogenum and the Role of Penicillin β-Lactamase in the Ecology of Soil Bacillus. Journal of General Microbiology, 70: 243–252.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Penicillium cyclopium	60167	fungi	Keromnes J, Thouvenot D. Role of penicillic acid in the phytotoxicity of Penicillium cyclopium and Penicillium canescens to the germination of corn seeds[J]. Applied and environmental microbiology, 1985, 49(3): 660-663. Ekwomadu T I, Gopane R E, Mwanza M. Occurrence of filamentous fungi in maize destined for human consumption in South Africa[J]. Food science & nutrition, 2018, 6(4): 884-890.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Penicillium funiculosum / Talaromyces funiculosus	28572	fungi	Liu S, Wang J, Guo N, et al. Talaromyces funiculosus, a novel causal agent of maize ear rot and its sensitivity to fungicides[J]. Plant disease, 2021, 105(12): 3978-3984.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Penicillium oxalicum	69781	fungi	Han J X, Zhang S L, Shi X C, et al. First report of Penicillium oxalicum causing leaf blight on maize in China[J]. Plant Disease, 2023, 107(8): 2554.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Penicillium verrucosum	60171	fungi	Wawrzyniak J, Waśkiewicz A. Ochratoxin A and citrinin production by Penicillium verrucosum on cereal solid substrates[J]. Food Additives & Contaminants: Part A, 2014, 31(1): 139-148.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Phaeocytostroma ambiguum	935936	fungi	Kimtai D K, Schmidt C, Matthiesen R L, et al. Pathogenicity and fungicide sensitivity of Phaeocytostroma ambiguum, a fungal species recovered from the crowns of corn plants[J]. Plant Disease, 2026 (ja).	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Phaeosphaeria herpotricha / Ophiosphaerella herpotricha	33175	fungi	MCGEE D C. Maize Diseases. Saint Paul: The American Phytopathological Society Press, 1988. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Phaeosphaeria maydis	NOT_VERIFIED	fungi	Jibril S M, Hu Y, Yang K, et al. Microbiome Analysis of Area in Proximity to White Spot Lesions Reveals More Harmful Plant Pathogens in Maize[J]. Biomolecules, 2025, 15(2): 252. Gonçalves R M, Figueiredo J E F, Pedro E S, et al. Etiology of Phaeosphaeria leaf spot disease of maize[J]. Journal of Plant Pathology, 2013: 559-569. Carson M L. Yield loss potential of Phaeosphaeria leaf spot of maize caused by Phaeosphaeria maydis in the United States[J]. Plant disease, 2005, 89(9): 986-988. | NCBI Taxonomy 未收录 Phaeosphaeria maydis	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Phialophora radicicola / Gaeumannomyces radicicola	1577605	fungi	McKeen W E. Phialophora radicicola Cain, a corn rootrot pathogen[J]. Canadian Journal of Botany, 1952, 30(3): 344-347.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Phyllachora maydis	1825666	fungi	Solórzano J E, Cruz C D, Arenz B E, et al. Tar spot of corn: A diagnostic and methods guide[J]. Plant Health Progress, 2023, 24(1): 117-122.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Physoderma maydis	276838	fungi	Robertson A E, Jesse L, Munkvold G, et al. Physoderma brown spot and stalk rot of corn caused by Physoderma maydis in Iowa[J]. Plant Health Progress, 2015, 16(2): 90-92.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Physopella pallescens / Phakopsora pallescens	NOT_VERIFIED	fungi	NYVALL R F. Field Crop Diseases. 3rd ed. Ames: Iowa State University Press, 1999 | NCBI Taxonomy 未收录 Phakopsora/Physopella pallescens	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Physopella zeae	NOT_VERIFIED	fungi	Nihei T H, Ferreira J M. Diallel analysis of maize inbred lines with emphasis on resistance to leaf diseases[J]. Pesquisa Agropecuária Brasileira, 2012, 47: 369-377. | NCBI Taxonomy 未收录 Phakopsora/Physopella zeae	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Puccinia polysora	684837	fungi	Sun Q, Li L, Guo F, et al. Southern corn rust caused by Puccinia polysor a Underw: a review[J]. Phytopathology Research, 2021, 3(1): 25.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Puccinia sorghi	27349	fungi	Olukolu B A, Tracy W F, Wisser R, et al. A genome-wide association study for partial resistance to maize common rust[J]. Phytopathology, 2016, 106(7): 745-751.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Pyricularia oryzae (Magnaporthe oryzae)	318829	fungi	Pordel A, Ravel S, Charriat F, et al. Tracing the origin and evolutionary history of Pyricularia oryzae infecting maize and barnyard grass[J]. Phytopathology®, 2021, 111(1): 128-136.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Rhizoctonia solani (Thanatephorus cucumeris)	456999	fungi	Pascual, Toda, Raymondo, et al. Characterization by conventional techniques and PCR of Rhizoctonia solani isolates causing banded leaf sheath blight in maize[J]. Plant Pathology, 2000, 49(1): 108-118.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Rhizopus arrhizus	64495	fungi	Morales-Barron B M, Larios-Serrato V, Morales-García Y E, et al. Effect of Pseudomonas protegens EMM-1 Against Rhizopus oryzae in Interactions with Mexican Autochthonous Red Maize[J]. Life, 2025, 15(4): 554.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Rhizopus stolonifer	4846	fungi	Pscheidt JW, Ocamb CM. Corn (Zea mays)—Ear Rots. Pacific Northwest Plant Disease Management Handbook.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Sarocladium strictum (Acremonium strictum)	5046	fungi	Tagne A, Neergaard E, Hansen H J, et al. Studies of host—pathogen interaction between maize and Acremonium strictum from Cameroon[J]. European Journal of Plant Pathology, 2002, 108(2): 93-102.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Sarocladium zeae/Acremonium zeae	1036732	fungi	Harish J, Prasannakumar M K, Venkateshbabu G, et al. Molecular and genomic insights into the pathogenicity of Sarocladium zeae causing maize stalk rot disease[J]. Microbiological Research, 2025, 296: 128146.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Septoria maydis	NOT_VERIFIED	fungi	CIMMYT Maize Program. Maize Diseases: A Guide for Field Identification. 4th ed. Mexico, D.F.: International Maize and Wheat Improvement Center (CIMMYT). 119 pp.2004. | NCBI Taxonomy 未收录 Septoria maydis	chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Septoria zeina/Septoria zeae	NOT_VERIFIED	fungi	QI P K, BAI J K, ZHU G X. Fungal Diseases of Cultured Plants of Jilin. Beijing: Science Press, 1966. (in Chinese) | NCBI Taxonomy 未收录 Septoria zeina (不同于 Cercospora zeina)	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Setophoma terrestris (Phoma terrestris/Pyrenochaeta terrestris )	798162	fungi	Yoshida N. Seasonal dynamics of the pink root fungus (Setophoma terrestris) in rhizosphere soil: Effect of crop species and rotation[J]. Plant Pathology, 2022, 71(2): 361-372.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Sporisorium reilianum (Sphacelotheca reiliana)	72558	fungi	Ghareeb H, Becker A, Iven T, et al. Sporisorium reilianum infection changes inflorescence and branching architectures of maize[J]. Plant physiology, 2011, 156(4): 2037-2052.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Stenocarpella macrospora	371126	fungi	| McGee DC. (1988). Maize diseases: a reference source for seed technologists.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Stenocarpella maydis (Diplodia maydis)	238245	fungi	Wicklow D T, Rogers K D, Dowd P F, et al. Bioactive metabolites from Stenocarpella maydis, a stalk and ear rot pathogen of maize[J]. Fungal biology, 2011, 115(2): 133-142.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Talaromyces radicus	228353	fungi	王晓鸣, 王振营. 中国玉米病虫草害图鉴. 北京: 中国农业出版社, 2018. WANG X M, WANG Z Y. Illustrated Handbook of Maize Diseases, Insect Pests and Weeds in China. Beijing: China Agriculture Press, 2018. (in Chinese)	book_or_compendium; chinese_literature			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma afroharzianum	1567482	fungi	Harish J, Prasannakumar M K, Karan R, et al. Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India[J]. Crop Protection, 2025, 195: 107255.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma asperellum	101201	fungi	Wang W, Xiao S, Que F, et al. Maize Knows Friends or Foes? The Dark Side of Trichoderma asperellum as a Maize Ear Rot Pathogenic Fungus[J]. Plant Biotechnology Journal, 2026, 24(4): 2701-2703.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma hamatum	49224	fungi	McFadden A G, Sutton J C. Relationships of populations of Trichoderma spp. in soil to disease in maize[J]. Canadian journal of plant science, 1975, 55(2): 579-586. Sobowale A A, Odebode A C, Cardwell K F, et al. Antagonistic potential of Trichoderma longibrachiatum and T. hamatum resident on maize (Zea mays) plant against Fusarium verticillioides (Nirenberg) isolated from rotting maize stem[J]. Archives of Phytopathology and Plant protection, 2010, 43(8): 744-753.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma harzianum	5544	fungi	Harish J, Prasannakumar M K, Karan R, et al. Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India[J]. Crop Protection, 2025, 195: 107255.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma koningii	97093	fungi	SUTTON J C. Trichoderma koningii as a parasite of maize seedlings[J]. Canadian journal of plant science, 1972, 52(6): 1037-1042.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma roseum /Trichothecium roseum	47278	fungi	Xue C S, Xu J N, Sun J Y, et al. First report of Trichothecium roseum causing maize (Zea mays) ear rot in Northern China[J]. Plant Disease, 2016, 100(11): 2324-2324.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Trichoderma viride	5547	fungi	Robertson, A. 2004. Corn Ear Rots. Iowa State University IPM.IC-492(21) [October 4, 2004] Available at https://lib.dr.iastate.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2505&context=cropnews [URL verified 3/28/2019].	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Ustilaginoidea virens	1159556	fungi	Gohel N M, Patil R K, Pandey R N, et al. A NEW REPORT ON OCCURRENCE OF FALSE HEAD SMUT [USTILAGINOIDEA VIRENS (COOKE) TAKAHASHI] OF MAIZE (ZEA MAYS L.) FROM GUJARAT, INDIA[J]. Bioscan (Suppl Plant Pathol), 2014, 9(3): 1147-1149.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
Waitea zeae (Rhizoctonia zeae)	49569	fungi	Gambhir N, Kodati S, Adesemoye A O, et al. Fungicide Sensitivity and Nontarget Site Resistance in Rhizoctonia zeae Isolates Collected from Corn and Soybean Fields in Nebraska[J]. Plant Disease, 2025, 109(1): 217-227.	journal			UNRESOLVED	no explicit DOI/PMID in raw citation block
