seqid	taxid	species	category	accession	length	n_count	ambiguous_count	ambiguous_bases	header_format_ok	marker_consistent	notes
MPDB000319	573	Klebsiella pneumoniae	bacteria	LC800023.1	779	0	0		True	True	
MPDB000320	573	Klebsiella pneumoniae	bacteria	LC802112.1	1269	0	0		True	True	
MPDB000321	573	Klebsiella pneumoniae	bacteria	LC802113.1	1269	0	0		True	True	
MPDB000322	573	Klebsiella pneumoniae	bacteria	LC802115.1	1269	0	0		True	True	
MPDB000323	573	Klebsiella pneumoniae	bacteria	LC834133.1	680	0	0		True	True	
MPDB000324	573	Klebsiella pneumoniae	bacteria	LC848124.1	1531	0	7	MRY	True	True	
MPDB000325	573	Klebsiella pneumoniae	bacteria	LC868253.1	1430	0	0		True	True	
MPDB000326	573	Klebsiella pneumoniae	bacteria	LC924319.1	1217	0	0		True	True	
MPDB000327	573	Klebsiella pneumoniae	bacteria	LC924333.1	1211	0	0		True	True	
MPDB000328	573	Klebsiella pneumoniae	bacteria	MZ092733.1	762	0	0		True	True	
MPDB000329	573	Klebsiella pneumoniae	bacteria	NG_047476.1	974	0	0		True	True	
MPDB000330	573	Klebsiella pneumoniae	bacteria	NG_048062.1	980	0	0		True	True	
MPDB000331	573	Klebsiella pneumoniae	bacteria	OK482771.1	262	0	0		True	True	
MPDB000332	573	Klebsiella pneumoniae	bacteria	OK504483.1	265	0	0		True	True	
MPDB000333	573	Klebsiella pneumoniae	bacteria	ON286761.1	3315	0	0		True	True	
MPDB000334	573	Klebsiella pneumoniae	bacteria	OU548745.1	1014	0	0		True	True	
MPDB000335	573	Klebsiella pneumoniae	bacteria	PV361230.1	1389	0	0		True	True	
MPDB000336	573	Klebsiella pneumoniae	bacteria	PV361232.1	1388	0	0		True	True	
MPDB000337	615	Serratia marcescens	bacteria	AB116388.1	4042	0	0		True	True	
MPDB000338	615	Serratia marcescens	bacteria	AB594756.1	1464	0	2	RY	True	True	
MPDB000339	615	Serratia marcescens	bacteria	AB681729.1	1467	0	0		True	True	
MPDB000340	615	Serratia marcescens	bacteria	FJ917355.1	7741	0	0		True	True	
MPDB000341	615	Serratia marcescens	bacteria	HE804807.2	1031	0	0		True	True	
MPDB000342	615	Serratia marcescens	bacteria	HE995790.2	765	0	0		True	True	
MPDB000343	615	Serratia marcescens	bacteria	HG800005.1	1000	0	0		True	True	
MPDB000344	615	Serratia marcescens	bacteria	HG941700.1	1020	0	0		True	True	
MPDB000345	615	Serratia marcescens	bacteria	KY623684.1	1080	0	0		True	True	
MPDB000346	615	Serratia marcescens	bacteria	LC529707.1	676	0	0		True	True	
MPDB000347	615	Serratia marcescens	bacteria	LC571916.1	1464	0	6	RSWY	True	True	
MPDB000348	615	Serratia marcescens	bacteria	LC571929.1	1464	0	0		True	True	
MPDB000349	615	Serratia marcescens	bacteria	LC571930.1	1464	0	1	Y	True	True	
MPDB000350	615	Serratia marcescens	bacteria	LC571935.1	1464	0	0		True	True	
MPDB000351	615	Serratia marcescens	bacteria	LC571939.1	1464	0	2	Y	True	True	
MPDB000352	615	Serratia marcescens	bacteria	LC571942.1	1464	0	2	RY	True	True	
MPDB000353	615	Serratia marcescens	bacteria	LC572258.1	1471	0	0		True	True	
MPDB000354	615	Serratia marcescens	bacteria	LC581798.1	1115	0	0		True	True	
MPDB000355	615	Serratia marcescens	bacteria	LC595302.1	1464	0	1	Y	True	True	
MPDB000356	615	Serratia marcescens	bacteria	LC595307.1	1464	0	1	R	True	True	
MPDB000357	615	Serratia marcescens	bacteria	LC625784.1	1387	0	0		True	True	
MPDB000358	615	Serratia marcescens	bacteria	LC627326.1	1411	0	0		True	True	
MPDB000359	615	Serratia marcescens	bacteria	LC645190.1	437	0	0		True	True	
MPDB000360	615	Serratia marcescens	bacteria	LC790163.1	1269	0	0		True	True	
MPDB000361	615	Serratia marcescens	bacteria	LC790164.1	1269	0	0		True	True	
MPDB000362	615	Serratia marcescens	bacteria	LC815918.1	1068	0	0		True	True	
MPDB000363	615	Serratia marcescens	bacteria	LM655405.1	166	0	0		True	True	
MPDB000364	615	Serratia marcescens	bacteria	LN884126.1	565	0	0		True	True	
MPDB000365	615	Serratia marcescens	bacteria	LN995790.1	988	0	0		True	True	
MPDB000366	615	Serratia marcescens	bacteria	LN997966.1	731	0	1	Y	True	True	
MPDB000367	615	Serratia marcescens	bacteria	LT608121.1	1368	0	0		True	True	
MPDB000368	615	Serratia marcescens	bacteria	LT628254.1	1165	0	0		True	True	
MPDB000369	615	Serratia marcescens	bacteria	LT628255.1	1156	0	0		True	True	
MPDB000370	615	Serratia marcescens	bacteria	LT628256.1	1209	0	0		True	True	
MPDB000371	615	Serratia marcescens	bacteria	LT631776.1	1229	0	2	R	True	True	
MPDB000372	615	Serratia marcescens	bacteria	LT631777.1	1453	0	6	KRY	True	True	
MPDB000373	615	Serratia marcescens	bacteria	LT678778.1	759	0	0		True	True	
MPDB000374	615	Serratia marcescens	bacteria	LT682310.1	878	0	0		True	True	
MPDB000375	615	Serratia marcescens	bacteria	LT691102.1	759	0	0		True	True	
MPDB000376	615	Serratia marcescens	bacteria	LT694243.1	758	0	0		True	True	
MPDB000377	615	Serratia marcescens	bacteria	NG_048058.1	956	0	0		True	True	
MPDB000378	615	Serratia marcescens	bacteria	OU548751.1	1065	2	0		True	True	
MPDB000379	615	Serratia marcescens	bacteria	OX250429.1	425	0	0		True	True	
MPDB000380	66269	Pantoea stewartii subsp. stewartii	bacteria	AJ311838.1	2024	0	0		True	True	
MPDB000381	66269	Pantoea stewartii subsp. stewartii	bacteria	HF584960.1	1119	0	0		True	True	
MPDB000382	66269	Pantoea stewartii subsp. stewartii	bacteria	HF985352.1	683	0	0		True	True	
MPDB000383	66269	Pantoea stewartii subsp. stewartii	bacteria	HF985353.1	700	28	0		True	True	
MPDB000384	66269	Pantoea stewartii subsp. stewartii	bacteria	HG792421.1	1358	0	0		True	True	
MPDB000385	66269	Pantoea stewartii subsp. stewartii	bacteria	HG792422.1	1417	0	2	KY	True	True	
MPDB000386	66269	Pantoea stewartii subsp. stewartii	bacteria	HG792423.1	1423	2	5	KMSY	True	True	
MPDB000387	66269	Pantoea stewartii subsp. stewartii	bacteria	HG792424.1	1408	1	1	Y	True	True	
MPDB000388	66269	Pantoea stewartii subsp. stewartii	bacteria	HG792425.1	1356	1	0		True	True	
MPDB000389	66269	Pantoea stewartii subsp. stewartii	bacteria	LC928073.1	1391	0	0		True	True	
MPDB000390	66269	Pantoea stewartii subsp. stewartii	bacteria	LC928152.1	1404	0	0		True	True	
MPDB000391	66269	Pantoea stewartii subsp. stewartii	bacteria	LC928160.1	1383	0	0		True	True	
MPDB000392	66269	Pantoea stewartii subsp. stewartii	bacteria	LN879347.1	615	1	0		True	True	
MPDB000393	66269	Pantoea stewartii subsp. stewartii	bacteria	LN879354.1	868	1	0		True	True	
MPDB000394	66269	Pantoea stewartii subsp. stewartii	bacteria	LT908020.1	600	0	0		True	True	
MPDB000395	66269	Pantoea stewartii subsp. stewartii	bacteria	S69173.1	120	0	0		True	True	
MPDB000396	66269	Pantoea stewartii subsp. stewartii	bacteria	Y13251.1	1499	2	29	KMRSWY	True	True	
MPDB000397	69219	Enterobacter cloacae subsp. dissolvens	bacteria	AJ417485.1	420	0	0		True	True	
MPDB000398	69219	Enterobacter cloacae subsp. dissolvens	bacteria	LC667811.1	1330	0	0		True	True	
MPDB000399	69219	Enterobacter cloacae subsp. dissolvens	bacteria	LC667815.1	1332	0	0		True	True	
MPDB000400	80867	Acidovorax avenae subsp. avenae	bacteria	AB021421.1	1445	9	0		True	True	
MPDB000401	80867	Acidovorax avenae subsp. avenae	bacteria	AB571879.1	665	0	0		True	True	
MPDB000402	80867	Acidovorax avenae subsp. avenae	bacteria	AM943046.1	437	0	0		True	True	
MPDB000403	80867	Acidovorax avenae subsp. avenae	bacteria	LC702348.1	1394	0	0		True	True	
MPDB000834	101028	Fusarium pseudograminearum	fungi	MH865930.1	543	0	0		True	True	
MPDB000835	101028	Fusarium pseudograminearum	fungi	OK481074.1	587	0	0		True	True	
MPDB000836	101028	Fusarium pseudograminearum	fungi	OL440929.1	502	0	0		True	True	
MPDB000837	101028	Fusarium pseudograminearum	fungi	OL440930.1	528	0	0		True	True	
MPDB000838	101028	Fusarium pseudograminearum	fungi	OL440932.1	502	0	0		True	True	
MPDB000839	101028	Fusarium pseudograminearum	fungi	OL872319.1	492	0	0		True	True	
MPDB000840	101028	Fusarium pseudograminearum	fungi	OL872329.1	492	0	0		True	True	
MPDB000841	101028	Fusarium pseudograminearum	fungi	OL872339.1	491	0	0		True	True	
MPDB000842	101028	Fusarium pseudograminearum	fungi	OM108102.1	481	0	0		True	True	
MPDB000843	101028	Fusarium pseudograminearum	fungi	OM980231.1	417	0	0		True	True	
MPDB000844	101028	Fusarium pseudograminearum	fungi	ON306853.1	537	0	0		True	True	
MPDB000845	101028	Fusarium pseudograminearum	fungi	ON306854.1	491	0	0		True	True	
MPDB000846	101028	Fusarium pseudograminearum	fungi	ON306855.1	478	0	0		True	True	
MPDB000847	101028	Fusarium pseudograminearum	fungi	ON687723.1	347	0	0		True	True	
MPDB000848	101028	Fusarium pseudograminearum	fungi	OP136036.1	487	0	0		True	True	
MPDB000849	101028	Fusarium pseudograminearum	fungi	OP364006.1	553	0	0		True	True	
MPDB000850	101028	Fusarium pseudograminearum	fungi	OP364007.1	545	0	0		True	True	
MPDB000851	101028	Fusarium pseudograminearum	fungi	OR582866.1	509	0	0		True	True	
MPDB000852	101028	Fusarium pseudograminearum	fungi	PP087309.1	482	0	0		True	True	
MPDB000853	101028	Fusarium pseudograminearum	fungi	PP336542.1	1642	0	0		True	True	
MPDB000854	101028	Fusarium pseudograminearum	fungi	PP406537.1	493	0	0		True	True	
MPDB000855	101028	Fusarium pseudograminearum	fungi	PQ217121.1	497	0	0		True	True	
MPDB000856	101028	Fusarium pseudograminearum	fungi	PQ319699.1	514	0	0		True	True	
MPDB000857	101028	Fusarium pseudograminearum	fungi	PQ416029.1	526	0	0		True	True	
MPDB000858	101028	Fusarium pseudograminearum	fungi	PQ657542.1	401	0	0		True	True	
MPDB000859	101028	Fusarium pseudograminearum	fungi	PQ721291.1	518	0	0		True	True	
MPDB000860	101028	Fusarium pseudograminearum	fungi	PQ721293.1	532	0	0		True	True	
MPDB000861	101028	Fusarium pseudograminearum	fungi	PV367984.1	476	0	0		True	True	
MPDB000862	101028	Fusarium pseudograminearum	fungi	PV478111.1	786	0	0		True	True	
MPDB000863	101028	Fusarium pseudograminearum	fungi	PV596288.1	503	0	0		True	True	
MPDB000864	101028	Fusarium pseudograminearum	fungi	PV774561.1	547	0	0		True	True	
MPDB000865	101028	Fusarium pseudograminearum	fungi	PV810307.1	498	0	0		True	True	
MPDB000866	101028	Fusarium pseudograminearum	fungi	PX022589.1	479	0	0		True	True	
MPDB000867	101028	Fusarium pseudograminearum	fungi	PX022591.1	468	0	0		True	True	
MPDB000868	101028	Fusarium pseudograminearum	fungi	PX128503.1	516	0	0		True	True	
MPDB000869	101028	Fusarium pseudograminearum	fungi	PX370044.1	538	0	0		True	True	
MPDB000870	101028	Fusarium pseudograminearum	fungi	PX370045.1	531	0	0		True	True	
MPDB000871	101028	Fusarium pseudograminearum	fungi	PX457499.1	504	0	0		True	True	
MPDB000872	101028	Fusarium pseudograminearum	fungi	PX457500.1	502	0	0		True	True	
MPDB000873	101028	Fusarium pseudograminearum	fungi	PX457504.1	503	0	0		True	True	
MPDB000874	101028	Fusarium pseudograminearum	fungi	PX457506.1	506	0	0		True	True	
MPDB000875	101028	Fusarium pseudograminearum	fungi	PX472025.1	483	0	0		True	True	
MPDB000876	101028	Fusarium pseudograminearum	fungi	PZ293192.1	477	0	0		True	True	
MPDB000877	101201	Trichoderma asperellum	fungi	PX599544.1	598	0	0		True	True	
MPDB000878	101201	Trichoderma asperellum	fungi	PZ623881.1	638	0	0		True	True	
MPDB000879	101201	Trichoderma asperellum	fungi	PZ623918.1	651	0	0		True	True	
MPDB000880	101201	Trichoderma asperellum	fungi	PZ625986.1	594	0	0		True	True	
MPDB000881	101201	Trichoderma asperellum	fungi	PZ660808.1	539	0	0		True	True	
MPDB000882	101201	Trichoderma asperellum	fungi	PZ671385.1	560	0	0		True	True	
MPDB000883	101201	Trichoderma asperellum	fungi	PZ673735.1	473	0	0		True	True	
MPDB000884	101201	Trichoderma asperellum	fungi	PZ674016.1	495	0	0		True	True	
MPDB000885	101201	Trichoderma asperellum	fungi	PZ675096.1	497	0	0		True	True	
MPDB000886	101201	Trichoderma asperellum	fungi	PZ694441.1	572	0	0		True	True	
MPDB000887	101201	Trichoderma asperellum	fungi	PZ702501.1	497	0	0		True	True	
MPDB000888	101201	Trichoderma asperellum	fungi	PZ702504.1	487	0	0		True	True	
MPDB000889	101201	Trichoderma asperellum	fungi	PZ702509.1	581	0	0		True	True	
MPDB000890	101201	Trichoderma asperellum	fungi	PZ702510.1	580	0	0		True	True	
MPDB000891	101201	Trichoderma asperellum	fungi	PZ702511.1	581	0	0		True	True	
MPDB000892	101201	Trichoderma asperellum	fungi	PZ702512.1	582	0	0		True	True	
MPDB000893	101201	Trichoderma asperellum	fungi	PZ708500.1	511	0	0		True	True	
MPDB000894	101201	Trichoderma asperellum	fungi	PZ710498.1	330	0	0		True	True	
MPDB000895	101201	Trichoderma asperellum	fungi	PZ711025.1	599	0	0		True	True	
MPDB000896	101201	Trichoderma asperellum	fungi	PZ711027.1	480	0	0		True	True	
MPDB000897	101201	Trichoderma asperellum	fungi	PZ711390.1	535	0	0		True	True	
MPDB000898	101201	Trichoderma asperellum	fungi	PZ712057.1	500	0	0		True	True	
MPDB000899	101201	Trichoderma asperellum	fungi	PZ713279.1	544	0	0		True	True	
MPDB000900	101201	Trichoderma asperellum	fungi	PZ722104.1	585	0	0		True	True	
MPDB000901	101201	Trichoderma asperellum	fungi	PZ723407.1	602	0	0		True	True	
MPDB000902	101201	Trichoderma asperellum	fungi	PZ728837.1	498	0	0		True	True	
MPDB000903	101201	Trichoderma asperellum	fungi	PZ728846.1	523	0	0		True	True	
MPDB000904	101201	Trichoderma asperellum	fungi	PZ728849.1	450	0	0		True	True	
MPDB000905	101201	Trichoderma asperellum	fungi	PZ737013.1	552	0	0		True	True	
MPDB000906	101201	Trichoderma asperellum	fungi	PZ741003.1	510	0	1	R	True	True	
MPDB000907	101201	Trichoderma asperellum	fungi	PZ756708.1	642	0	0		True	True	
MPDB000908	101201	Trichoderma asperellum	fungi	PZ764224.1	544	0	0		True	True	
MPDB000909	101201	Trichoderma asperellum	fungi	PZ766098.1	583	0	0		True	True	
MPDB000910	101201	Trichoderma asperellum	fungi	PZ768890.1	584	0	0		True	True	
MPDB000911	101201	Trichoderma asperellum	fungi	PZ770416.1	493	0	0		True	True	
MPDB000912	101201	Trichoderma asperellum	fungi	PZ770420.1	580	0	0		True	True	
MPDB000913	101201	Trichoderma asperellum	fungi	PZ770676.1	553	0	0		True	True	
MPDB000914	101201	Trichoderma asperellum	fungi	PZ770678.1	579	0	0		True	True	
MPDB000915	101201	Trichoderma asperellum	fungi	PZ770854.1	568	0	0		True	True	
MPDB000916	101201	Trichoderma asperellum	fungi	PZ779474.1	601	0	0		True	True	
MPDB000917	101201	Trichoderma asperellum	fungi	PZ794737.1	531	0	0		True	True	
MPDB000918	101201	Trichoderma asperellum	fungi	PZ799364.1	573	0	0		True	True	
MPDB000919	101201	Trichoderma asperellum	fungi	PZ806572.1	479	0	0		True	True	
MPDB000920	1036732	Sarocladium zeae/Acremonium zeae	fungi	MH859433.1	503	0	0		True	True	
MPDB000921	1036732	Sarocladium zeae/Acremonium zeae	fungi	MH859633.1	579	0	0		True	True	
MPDB000922	1036732	Sarocladium zeae/Acremonium zeae	fungi	MH859763.1	584	0	0		True	True	
MPDB000923	1036732	Sarocladium zeae/Acremonium zeae	fungi	MZ353527.1	233	0	0		True	True	
MPDB000924	1036732	Sarocladium zeae/Acremonium zeae	fungi	OQ429857.1	497	0	0		True	True	
MPDB000925	1036732	Sarocladium zeae/Acremonium zeae	fungi	OQ429858.1	509	0	0		True	True	
MPDB000926	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500031.1	862	0	0		True	True	
MPDB000927	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500035.1	851	0	0		True	True	
MPDB000928	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500039.1	862	0	0		True	True	
MPDB000929	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500040.1	864	0	0		True	True	
MPDB000930	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500045.1	856	0	0		True	True	
MPDB000931	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500051.1	858	0	0		True	True	
MPDB000932	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500054.1	857	0	0		True	True	
MPDB000933	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500055.1	855	0	0		True	True	
MPDB000934	1036732	Sarocladium zeae/Acremonium zeae	fungi	OR500061.1	865	0	0		True	True	
MPDB000935	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721194.1	866	0	0		True	True	
MPDB000936	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721195.1	748	0	0		True	True	
MPDB000937	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721196.1	1053	0	0		True	True	
MPDB000938	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721197.1	863	0	0		True	True	
MPDB000939	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721198.1	865	0	0		True	True	
MPDB000940	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721200.1	861	0	0		True	True	
MPDB000941	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721201.1	859	0	0		True	True	
MPDB000942	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721202.1	858	0	0		True	True	
MPDB000943	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721203.1	853	0	0		True	True	
MPDB000944	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721204.1	854	0	0		True	True	
MPDB000945	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721205.1	805	0	0		True	True	
MPDB000946	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721206.1	857	0	0		True	True	
MPDB000947	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721207.1	867	0	0		True	True	
MPDB000948	1036732	Sarocladium zeae/Acremonium zeae	fungi	PP721208.1	857	0	0		True	True	
MPDB000949	1036732	Sarocladium zeae/Acremonium zeae	fungi	PQ236698.1	550	0	0		True	True	
MPDB000950	1036732	Sarocladium zeae/Acremonium zeae	fungi	PQ304517.1	586	1	0		True	True	
MPDB000951	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV368045.1	481	0	0		True	True	
MPDB000952	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV368046.1	515	0	0		True	True	
MPDB000953	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV407543.1	552	0	0		True	True	
MPDB000954	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV407545.1	492	0	0		True	True	
MPDB000955	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV492239.1	312	0	0		True	True	
MPDB000956	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV862258.1	537	0	0		True	True	
MPDB000957	1036732	Sarocladium zeae/Acremonium zeae	fungi	PV862259.1	539	0	0		True	True	
MPDB000958	1036732	Sarocladium zeae/Acremonium zeae	fungi	PX858207.1	594	0	0		True	True	
MPDB000959	1036732	Sarocladium zeae/Acremonium zeae	fungi	PX965531.1	530	0	0		True	True	
MPDB000960	1036732	Sarocladium zeae/Acremonium zeae	fungi	PX965538.1	533	0	0		True	True	
MPDB000961	1036732	Sarocladium zeae/Acremonium zeae	fungi	PX965544.1	523	0	0		True	True	
MPDB000962	1036732	Sarocladium zeae/Acremonium zeae	fungi	PX965551.1	530	0	0		True	True	
MPDB000963	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	HF934907.1	740	0	0		True	True	
MPDB000964	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	JN192374.1	521	0	0		True	True	
MPDB000965	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	JQ724383.1	606	0	0		True	True	
MPDB000966	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	JQ724434.1	606	0	0		True	True	
MPDB000967	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	JQ724489.1	600	0	0		True	True	
MPDB000968	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	JQ724512.1	604	0	0		True	True	
MPDB000969	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	JX256433.1	463	0	0		True	True	
MPDB000970	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	KC315948.1	575	0	0		True	True	
MPDB000971	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	KJ767096.1	609	0	0		True	True	
MPDB000972	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	KP122965.1	482	0	0		True	True	
MPDB000973	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	KR704891.1	576	0	0		True	True	
MPDB000974	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	KT385714.1	518	0	0		True	True	
MPDB000975	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	KY995629.1	562	0	0		True	True	
MPDB000976	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	LC494371.1	593	0	0		True	True	
MPDB000977	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MF448225.1	567	0	1	R	True	True	
MPDB000978	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MH665453.1	566	0	0		True	True	
MPDB000979	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MH858243.1	529	0	0		True	True	
MPDB000980	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MH859834.1	569	0	0		True	True	
MPDB000981	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MN402766.1	459	0	0		True	True	
MPDB000982	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MN519517.1	485	0	0		True	True	
MPDB000983	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MN519519.1	508	0	0		True	True	
MPDB000984	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MN521832.1	485	0	0		True	True	
MPDB000985	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MN540245.1	579	0	0		True	True	
MPDB000986	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MN540247.1	561	0	0		True	True	
MPDB000987	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	MT229266.1	502	0	0		True	True	
MPDB000988	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	ON329689.1	603	0	0		True	True	
MPDB000989	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	OR262502.1	557	0	0		True	True	
MPDB000990	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	OR262504.1	505	0	0		True	True	
MPDB000991	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	OR262505.1	563	0	0		True	True	
MPDB000992	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	OR555998.1	497	0	0		True	True	
MPDB000993	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	PV250306.1	539	0	0		True	True	
MPDB000994	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	PV290864.1	536	0	0		True	True	
MPDB000995	1056642	Curvularia tuberculata / Cochliobolus tuberculatus	fungi	PX518059.1	571	0	0		True	True	
MPDB000996	105696	Epicoccum nigrum	fungi	MH854713.1	545	0	0		True	True	
MPDB000997	105696	Epicoccum nigrum	fungi	MH855167.1	577	1	0		True	True	
MPDB000998	105696	Epicoccum nigrum	fungi	MH855260.1	550	0	0		True	True	
MPDB000999	105696	Epicoccum nigrum	fungi	MH855396.1	542	0	0		True	True	
MPDB001000	105696	Epicoccum nigrum	fungi	MH855478.1	501	0	0		True	True	
MPDB001001	105696	Epicoccum nigrum	fungi	MH855943.1	469	0	0		True	True	
MPDB001002	105696	Epicoccum nigrum	fungi	MH857847.1	573	0	0		True	True	
MPDB001003	105696	Epicoccum nigrum	fungi	MH857848.1	545	0	0		True	True	
MPDB001004	105696	Epicoccum nigrum	fungi	MH857849.1	546	0	0		True	True	
MPDB001005	105696	Epicoccum nigrum	fungi	MH857850.1	543	0	0		True	True	
MPDB001006	105696	Epicoccum nigrum	fungi	MH857851.1	543	0	0		True	True	
MPDB001007	105696	Epicoccum nigrum	fungi	MH860625.1	542	0	1	R	True	True	
MPDB001008	105696	Epicoccum nigrum	fungi	MH860655.1	489	0	0		True	True	
MPDB001009	105696	Epicoccum nigrum	fungi	MH861752.1	515	0	0		True	True	
MPDB001010	105696	Epicoccum nigrum	fungi	PQ350493.1	487	0	0		True	True	
MPDB001011	105696	Epicoccum nigrum	fungi	PQ350496.1	487	0	0		True	True	
MPDB001012	105696	Epicoccum nigrum	fungi	PQ350591.1	502	0	0		True	True	
MPDB001013	105696	Epicoccum nigrum	fungi	PQ350642.1	481	0	0		True	True	
MPDB001014	105696	Epicoccum nigrum	fungi	PQ350643.1	479	0	0		True	True	
MPDB001015	105696	Epicoccum nigrum	fungi	PQ350657.1	476	0	0		True	True	
MPDB001016	105696	Epicoccum nigrum	fungi	PV498642.1	601	0	0		True	True	
MPDB001017	105696	Epicoccum nigrum	fungi	PV498646.1	601	0	0		True	True	
MPDB001018	105696	Epicoccum nigrum	fungi	PV498651.1	491	0	0		True	True	
MPDB001019	105696	Epicoccum nigrum	fungi	PV498652.1	471	0	0		True	True	
MPDB001020	105696	Epicoccum nigrum	fungi	PV498653.1	491	0	0		True	True	
MPDB001021	105696	Epicoccum nigrum	fungi	PV498654.1	481	0	0		True	True	
MPDB001022	105696	Epicoccum nigrum	fungi	PV498655.1	601	0	0		True	True	
MPDB001023	105696	Epicoccum nigrum	fungi	PV498688.1	471	0	0		True	True	
MPDB001024	105696	Epicoccum nigrum	fungi	PZ281865.1	586	0	0		True	True	
MPDB001025	105696	Epicoccum nigrum	fungi	PZ462612.1	476	0	0		True	True	
MPDB001026	105696	Epicoccum nigrum	fungi	PZ476674.1	410	0	0		True	True	
MPDB001027	105696	Epicoccum nigrum	fungi	PZ526881.1	503	0	0		True	True	
MPDB001028	105696	Epicoccum nigrum	fungi	PZ544358.1	492	0	0		True	True	
MPDB001029	105696	Epicoccum nigrum	fungi	PZ556471.1	549	0	0		True	True	
MPDB001030	105696	Epicoccum nigrum	fungi	PZ572952.1	428	0	6	RSW	True	True	
MPDB001031	105696	Epicoccum nigrum	fungi	PZ573887.1	189	0	0		True	True	
MPDB001032	105696	Epicoccum nigrum	fungi	PZ573951.1	219	0	0		True	True	
MPDB001033	105696	Epicoccum nigrum	fungi	PZ658190.1	487	0	0		True	True	
MPDB001034	105696	Epicoccum nigrum	fungi	PZ661246.1	546	0	0		True	True	
MPDB001035	105696	Epicoccum nigrum	fungi	PZ683424.1	529	0	0		True	True	
MPDB001036	105696	Epicoccum nigrum	fungi	PZ695141.1	474	0	0		True	True	
MPDB001037	105696	Epicoccum nigrum	fungi	PZ734650.1	582	0	0		True	True	
MPDB001038	105696	Epicoccum nigrum	fungi	PZ779821.1	521	0	0		True	True	
MPDB001039	1159556	Ustilaginoidea virens	fungi	OQ645537.1	634	0	0		True	True	
MPDB001040	1159556	Ustilaginoidea virens	fungi	OQ645538.1	631	0	0		True	True	
MPDB001041	1159556	Ustilaginoidea virens	fungi	OQ645540.1	609	0	0		True	True	
