seqid	taxid	species	category	accession	source_length	marker_length	length	gc_percent	marker_region	extraction_method
MPDB001397	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	PV998079.1	477	432	432	44.4444	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001398	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	PV998083.1	482	435	435	44.3678	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001399	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	PV998085.1	497	435	435	44.3678	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001400	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	PX858216.1	560	492	492	45.1220	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001401	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	PX858217.1	550	486	486	44.4444	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001402	13001	Ceratocystis paradoxa/Thielaviopsis paradoxa	fungi	PZ392141.1	553	492	492	44.3089	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001403	135779	Cercospora zeae-maydis	fungi	OQ732341.1	427	427	427	51.5222	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001404	135779	Cercospora zeae-maydis	fungi	OQ732350.1	427	427	427	51.9906	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001405	135779	Cercospora zeae-maydis	fungi	OQ732363.1	427	427	427	51.7564	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001406	135779	Cercospora zeae-maydis	fungi	OR945717.1	504	444	444	52.4775	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001407	135779	Cercospora zeae-maydis	fungi	PQ571649.1	509	477	477	53.0398	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001408	135779	Cercospora zeae-maydis	fungi	PQ571652.1	506	445	445	52.3596	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001409	135779	Cercospora zeae-maydis	fungi	PQ571656.1	515	454	454	51.7621	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001410	135779	Cercospora zeae-maydis	fungi	PQ650760.1	511	480	480	52.5000	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001411	135779	Cercospora zeae-maydis	fungi	PQ650762.1	507	446	446	52.9148	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001412	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH855184.1	579	479	479	46.5553	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001413	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH855185.1	567	479	479	46.5553	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001414	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH857033.1	572	483	483	46.3768	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001415	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH858441.1	568	480	480	46.8750	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001416	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH858442.1	568	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001417	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH859712.1	570	482	482	46.6805	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001418	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH863648.1	707	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001419	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	MH864011.1	571	480	480	46.8750	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001420	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PQ533629.1	710	662	662	47.2810	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001421	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PQ764003.1	560	498	498	46.9880	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001422	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV363273.1	569	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001423	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV639796.1	574	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001424	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV639797.1	576	513	513	47.3684	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001425	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV659839.1	509	458	458	46.9432	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001426	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV665501.1	539	493	493	46.6531	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001427	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV932920.1	545	498	498	46.9880	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001428	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PV948935.1	439	439	439	46.6970	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001429	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX061694.1	560	496	496	47.1774	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001430	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX238650.1	545	483	483	47.4120	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001431	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX248712.1	516	465	465	47.3118	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001432	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX317617.1	516	516	516	47.4806	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001433	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX410967.1	537	504	504	47.0238	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001434	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX411416.1	447	447	447	46.7562	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001435	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX480654.1	753	694	694	44.3804	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001436	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX672545.1	500	500	500	49.0000	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001437	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX921693.1	508	508	508	46.6535	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001438	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX944736.1	605	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001439	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX963647.1	564	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001440	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX963692.1	543	480	480	46.5553	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001441	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX969718.1	609	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001442	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX969729.1	448	448	448	46.6518	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001443	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX970191.1	608	480	480	46.7641	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001444	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PX974595.1	457	457	457	46.4912	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001445	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ027921.1	471	471	471	47.1616	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001446	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ127308.1	709	661	661	47.2012	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001447	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ179769.1	527	476	476	45.7983	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001448	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ179770.1	520	459	459	52.0697	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001449	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ179771.1	534	473	473	46.9345	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001450	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ231615.1	510	510	510	46.8627	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001451	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ270548.1	549	382	382	45.5497	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001452	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ281963.1	450	450	450	46.8889	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001453	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ380020.1	689	480	480	46.6667	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001454	145392	Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	fungi	PZ645953.1	523	465	465	47.3118	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001455	1567482	Trichoderma afroharzianum	fungi	MN944475.1	586	522	522	56.1303	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001456	1567482	Trichoderma afroharzianum	fungi	MN944477.1	586	521	521	55.8541	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001457	1567482	Trichoderma afroharzianum	fungi	MN944478.1	588	525	525	56.5714	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001458	1567482	Trichoderma afroharzianum	fungi	MN944483.1	588	524	524	55.7252	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001459	1567482	Trichoderma afroharzianum	fungi	OR028877.1	580	539	539	55.8442	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001460	1567482	Trichoderma afroharzianum	fungi	OR028878.1	583	538	538	55.9480	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001461	1567482	Trichoderma afroharzianum	fungi	PQ771090.1	536	536	536	55.9701	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001462	1567482	Trichoderma afroharzianum	fungi	PQ792632.1	513	450	450	49.1111	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001463	1567482	Trichoderma afroharzianum	fungi	PV147294.1	577	514	514	56.4202	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001464	1567482	Trichoderma afroharzianum	fungi	PV803490.1	613	529	529	55.9546	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001465	1567482	Trichoderma afroharzianum	fungi	PV833935.1	595	536	536	58.5821	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001466	1567482	Trichoderma afroharzianum	fungi	PV875369.1	575	517	517	56.2863	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001467	1567482	Trichoderma afroharzianum	fungi	PV888853.1	562	530	530	56.2264	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001468	1567482	Trichoderma afroharzianum	fungi	PV888871.1	570	507	507	56.6075	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001469	1567482	Trichoderma afroharzianum	fungi	PV888872.1	560	528	528	56.2500	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001470	1567482	Trichoderma afroharzianum	fungi	PV927072.1	568	507	507	56.6075	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001471	1567482	Trichoderma afroharzianum	fungi	PV927113.1	622	561	561	55.9715	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001472	1567482	Trichoderma afroharzianum	fungi	PV998964.1	595	544	544	55.8824	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001473	1567482	Trichoderma afroharzianum	fungi	PX125564.1	589	526	526	55.8935	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001474	1567482	Trichoderma afroharzianum	fungi	PX317609.1	564	564	564	56.0284	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001475	1567482	Trichoderma afroharzianum	fungi	PX440380.1	522	522	522	55.9387	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001476	1567482	Trichoderma afroharzianum	fungi	PX451861.1	604	544	544	55.5147	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001477	1567482	Trichoderma afroharzianum	fungi	PX466672.1	643	529	529	55.9546	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001478	1567482	Trichoderma afroharzianum	fungi	PX592360.1	595	544	544	55.8824	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001479	1567482	Trichoderma afroharzianum	fungi	PX596745.1	558	515	515	58.4466	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001480	1567482	Trichoderma afroharzianum	fungi	PX641334.1	602	535	535	56.4486	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001481	1567482	Trichoderma afroharzianum	fungi	PX682135.1	593	529	529	55.9546	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001482	1567482	Trichoderma afroharzianum	fungi	PX781899.1	583	520	520	56.1538	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001483	1567482	Trichoderma afroharzianum	fungi	PX781900.1	592	561	561	56.5062	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001484	1567482	Trichoderma afroharzianum	fungi	PX944777.1	593	522	522	56.1303	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001485	1567482	Trichoderma afroharzianum	fungi	PX990073.1	484	484	484	57.0248	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001486	1567482	Trichoderma afroharzianum	fungi	PX990074.1	621	528	528	56.0606	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001487	1567482	Trichoderma afroharzianum	fungi	PZ069395.1	613	530	530	55.8491	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001488	1567482	Trichoderma afroharzianum	fungi	PZ122442.1	582	532	532	55.8271	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001489	1567482	Trichoderma afroharzianum	fungi	PZ163670.1	577	537	537	55.4935	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001490	1567482	Trichoderma afroharzianum	fungi	PZ169959.1	554	504	504	56.3492	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001491	1567482	Trichoderma afroharzianum	fungi	PZ227505.1	883	531	531	55.5556	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001492	1567482	Trichoderma afroharzianum	fungi	PZ251622.1	663	529	529	55.9546	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001493	1567482	Trichoderma afroharzianum	fungi	PZ270822.1	548	548	548	55.4745	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001494	1567482	Trichoderma afroharzianum	fungi	PZ357797.1	512	512	512	56.2500	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001495	1567482	Trichoderma afroharzianum	fungi	PZ359186.1	245	170	170	65.6805	ITS2	ITSx-region-extraction
MPDB001496	1567482	Trichoderma afroharzianum	fungi	PZ721831.1	598	534	534	55.9925	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001497	1567482	Trichoderma afroharzianum	fungi	PZ768225.1	585	529	529	55.9546	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001498	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	AB190407.1	545	464	464	55.1724	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001499	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	AB190409.1	545	464	464	54.9569	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001500	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	AJ010035.1	521	469	469	54.7974	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001501	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	AJ010043.1	500	500	500	55.0000	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001502	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	AJ010044.1	484	484	484	54.3388	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001503	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	AY120939.1	582	468	468	55.3648	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001504	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KJ159572.1	492	492	492	55.4878	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001505	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM009168.1	517	485	485	55.6701	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001506	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM009169.1	515	483	483	54.8654	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001507	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM009170.1	512	480	480	55.2083	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001508	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM484844.1	488	488	488	54.3033	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001509	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM484846.1	499	471	471	54.5648	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001510	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM484848.1	450	450	450	55.7778	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001511	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM484849.1	499	471	471	54.1401	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001512	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	KM484850.1	499	471	471	54.9894	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001513	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	MH857211.1	479	479	479	54.6973	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001514	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	MH861867.1	541	464	464	54.9569	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001515	1577605	Phialophora radicicola / Gaeumannomyces radicicola	fungi	MT276057.1	521	469	469	55.2239	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001516	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MH855318.1	552	503	503	51.2922	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001517	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MH860344.1	500	500	500	50.8000	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001518	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT568644.1	555	524	524	52.2901	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001519	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889710.1	535	481	481	51.3514	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001520	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889711.1	542	485	485	51.7526	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001521	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889719.1	543	487	487	51.9507	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001522	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889720.1	537	482	482	51.4523	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001523	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889723.1	536	484	484	51.6529	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001524	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889724.1	533	482	482	51.4523	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001525	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889734.1	534	479	479	51.3570	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001526	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889735.1	538	484	484	51.4463	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001527	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889738.1	536	480	480	51.4583	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001528	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889757.1	530	477	477	51.3627	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001529	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889759.1	532	477	477	51.3627	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001530	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889760.1	534	482	482	51.4523	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001531	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889763.1	538	485	485	51.7526	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001532	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889817.1	532	477	477	51.3627	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001533	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889908.1	538	488	488	52.0492	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001534	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889909.1	538	483	483	51.5528	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001535	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889911.1	537	484	484	51.4463	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001536	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889912.1	539	484	484	51.6529	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001537	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889914.1	531	473	473	51.1628	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001538	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889915.1	536	483	483	51.5528	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001539	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889916.1	532	480	480	51.4583	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001540	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889921.1	532	475	475	51.3684	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001541	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889923.1	538	487	487	51.9507	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001542	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889925.1	536	482	482	51.4523	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001543	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889927.1	533	477	477	51.3627	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001544	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889928.1	541	487	487	51.9507	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001545	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889931.1	534	477	477	51.3627	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001546	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889932.1	531	473	473	51.1628	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001547	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889933.1	543	488	488	51.8443	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001548	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889969.1	539	487	487	51.9507	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001549	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT889970.1	539	489	489	52.1472	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001550	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892866.1	531	479	479	51.3570	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001551	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892867.1	534	478	478	51.4644	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001552	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892870.1	533	480	480	51.4583	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001553	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892871.1	534	481	481	51.5593	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001554	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892872.1	535	481	481	51.5593	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001555	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892873.1	537	488	488	52.0492	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001556	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892874.1	537	483	483	51.5528	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001557	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	MT892878.1	533	479	479	51.3570	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001558	1592451	Kabatiella zeae (Aureobasidium zeae)	fungi	PV875371.1	564	510	510	52.3529	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001559	1608309	Eutiarosporella dactylidis	fungi	KM978944.1	566	472	472	56.5678	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001560	1608309	Eutiarosporella dactylidis	fungi	KM978945.1	518	475	475	56.6316	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001561	1608309	Eutiarosporella dactylidis	fungi	KU246378.1	495	445	445	55.9551	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001562	1608309	Eutiarosporella dactylidis	fungi	MF289782.1	534	473	473	57.2939	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001563	1608309	Eutiarosporella dactylidis	fungi	MF398898.1	482	445	445	55.9551	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001564	1608309	Eutiarosporella dactylidis	fungi	MZ470435.1	535	473	473	56.4482	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001565	1608309	Eutiarosporella dactylidis	fungi	MZ470436.1	538	475	475	56.6316	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001566	1608309	Eutiarosporella dactylidis	fungi	MZ470437.1	533	471	471	56.6879	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001567	1608309	Eutiarosporella dactylidis	fungi	MZ470438.1	535	473	473	56.6596	ITS1-5.8S-ITS2	ITSx-region-extraction
MPDB001568	1608309	Eutiarosporella dactylidis	fungi	MZ470439.1	534	471	471	56.6879	ITS1-5.8S-ITS2	ITSx-region-extraction
