species	taxid	category	citation_id	raw_chunk	extracted_doi	crossref_doi	crossref_title	crossref_container	crossref_year	crossref_score	crossref_error	pubmed_pmid	pubmed_title	pubmed_year	pubmed_score	pubmed_error	resolution_status	verification_required	review_decision	reviewer	review_date	review_notes
Hyalothyridium maydis / Orphanocoela maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Latterell, F. M., & Rossi, A. E. 1984. A new species of Hyalothyridium associated with a leaf spot of maize in Latin America. Mycologia 76(3): 506–514. | NCBI Taxonomy 未收录 Orphanocoela/Hyalothyridium maydis		10.2307/3793333	A New Species of Hyalothyridium Associated with a Leaf Spot of Maize in Latin America	Mycologia	1984								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Kabatiella zeae (Aureobasidium zeae)	1592451	fungi	1592451.1	Chen N, Xiao S, Sun J, et al. Virulence and molecular diversity in the Kabatiella zeae population causing maize eyespot in China[J]. Plant disease, 2020, 104(12): 3197-3206.		10.1094/pdis-03-20-0509-re	Virulence and Molecular Diversity in the Kabatiella zeae Population Causing Maize Eyespot in China	Plant Disease	2020			33136469	Virulence and Molecular Diversity in the Kabatiella zeae Population Causing Maize Eyespot in China.	2020			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Lasiodiplodia theobromae / Botryodiplodia tubericola	45133	fungi	45133.1	Ma H X, Zhang H J, Shi J, et al. First report of Lasiodiplodia theobromae causing maize ear rot in Hainan Province in Southern China[J]. Plant Disease, 2016, 100(10): 2160.		10.1094/pdis-01-16-0049-pdn	First Report of Lasiodiplodia theobromae Causing Maize Ear Rot in Hainan Province in Southern China	Plant Disease	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Leptosphaeria multiseptata / Entodesmium multiseptatum	NOT_VERIFIED	fungi	NOT_VERIFIED.1	MCGEE D C. Maize Diseases. Saint Paul: The American Phytopathological Society Press, 1988.		10.1201/b19891-7	Diseases and Management of Maize	Crop Diseases and Their Management	2016				Pathogen Inoculation and Rating Strategies for Studying Maize Diseases.	2026	0.222		AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.22; openalex_no_doi
Leptosphaeria multiseptata / Entodesmium multiseptatum	NOT_VERIFIED	fungi	NOT_VERIFIED.2	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Leptosphaeria multiseptata / Entodesmium multiseptatum	NOT_VERIFIED	fungi	NOT_VERIFIED.3	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020. | NCBI Taxonomy 未收录 Leptosphaeria/Entodesmium multiseptata		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Supervised consumption service use and high-frequency public injecting among people who inject drugs in Toronto: A cross-sectional analysis (2018-2020).	2026	0.043		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-28	title_mismatch overlap=0.00; openalex_no_doi
Leptosphaeria variiseptata / Phaeosphaeria variiseptata	NOT_VERIFIED	fungi	NOT_VERIFIED.1	MUNKVOLD G P, WHITE D G. Compendium of Corn Diseases. 4th ed. Saint Paul: The American Phytopathological Society Press, 2016. | NCBI Taxonomy 未收录 Leptosphaeria/Phaeosphaeria variiseptata		10.1094/9780890544945	Compendium of Corn Diseases, Fourth Edition	APS Press	2016								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.26; openalex_no_doi; book_title_verified
Leptosphaerulina australis	318710	fungi	318710.1	Liu Y, Wu S, Li X, et al. Occurrence of maize leaf spot disease caused by Leptosphaerulina australis in Yunnan, China[J]. Plant Disease, 2024, 108(11): 3407.		10.1094/pdis-11-23-2503-pdn	Occurrence of Maize Leaf Spot Disease Caused by Leptosphaerulina australis in Yunnan, China	Plant Disease	2024								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Macrophomina phaseolina	35725	fungi	35725.1	Marquez N, Giachero M L, Declerck S, et al. Macrophomina phaseolina: General characteristics of pathogenicity and methods of control[J]. Frontiers in plant science, 2021, 12: 634397.		10.3389/fpls.2021.634397	Macrophomina phaseolina: General Characteristics of Pathogenicity and Methods of Control	Frontiers in Plant Science	2021			33968098	Macrophomina phaseolina : General Characteristics of Pathogenicity and Methods of Control.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
Marasmiellus inoderma	3021703	fungi	3021703.1	Sabet K A, Ashour W A, Samra A S, et al. Root-rot of maize caused by Marasmiellus inoderma[J]. Transactions of the British Mycological Society, 1970, 54(1): 123-IN15.		10.1016/s0007-1536(70)80130-9	Root-rot of maize caused by Marasmiellus inoderma	Transactions of the British Mycological Society	1970								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	doi_corrected 10.1079/cabicompendium.32536 -> 10.1016/s0007-1536(70)80130-9; manual_doi_correction; pmid_cleared_doi_changed
Marasmius graminum var. brevispora / Marasmius graminum	160937	fungi	160937.1	PONT W. STUDIES ON ROOT ROT AND STALK ROT OF MAIZE IN NORTH QUEENSLAND CAUSED BY MARASMIUS SACCHARI WAKKER VAR.. HAW AIIENSIS COBB AND[J]. Queensland Journal of Agricultural and Animal Sciences, 1973, 30: 3.		10.1093/oed/1150130953	haw-haw, v.	Oxford English Dictionary	2023								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.06; openalex_no_doi
Marasmius sacchari var. hawaiiensis / Marasmius sacchar	2075139	fungi	2075139.1	PONT W. STUDIES ON ROOT ROT AND STALK ROT OF MAIZE IN NORTH QUEENSLAND CAUSED BY MARASMIUS SACCHARI WAKKER VAR.. HAW AIIENSIS COBB AND[J]. Queensland Journal of Agricultural and Animal Sciences, 1973, 30: 3.		10.1093/oed/1150130953	haw-haw, v.	Oxford English Dictionary	2023								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.06; openalex_no_doi
Microdochium bolleyi	196109	fungi	196109.1	Stojkov S. The study of Microdochium bolleyi (Sprague) De Hoog and Hermandies-Nijof the fungus causing root rot of maize[J]. 1993.		10.1079/cabicompendium.7998	Microdochium bolleyi (root rot of maize)	CABI Compendium	2021								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-23	title_mismatch overlap=0.46; openalex_no_doi
Microdochium seminicola	1682390	fungi	1682390.1	Ferreira L C, de Moura V A S, Resende Jr M F R, et al. Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease[J]. Phytobiomes Journal, 2025, 9(4): 620-635.		10.1094/pbiomes-12-24-0118-r	Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease	Phytobiomes Journal	2025								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Monographella maydis/Microdochium maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Müller E, Samuels G J. Monographella maydis sp. nov. and its connection to the tar-spot disease of Zea mays[J]. 1984. | NCBI Taxonomy 未收录 Microdochium/Monographella maydis		10.1127/nova.hedwigia/40/1985/113	Monographella maydis sp. nov. and its Connection to the Tar-spot Disease of Zea mays	Nova Hedwigia	1985								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Mucor circinelloides	36080	fungi	36080.1	Purwantisari S, Nurbayani F A, Safina M F I, et al. Antagonistic activity of Trichoderma harzianum against Aspergillus parasiticus and Mucor circinelloides in corn plant (Zea mays L.)[J]. PLANTA TROPIKA, 2025, 13(1): 38-51.		10.18196/pt.v13i1.21507	Antagonistic activity of Trichoderma harzianum against Aspergillus parasiticus and Mucor circinelloides in corn plant (Zea mays L.)	PLANTA TROPIKA	2025								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Mycosarcoma maydis (Ustilago maydis)	5270	fungi	5270.1	Kämper J, Kahmann R, Bölker M, et al. Insights from the genome of the biotrophic fungal plant pathogen Ustilago maydis[J]. Nature, 2006, 444(7115): 97-101.		10.1038/nature05248	Insights from the genome of the biotrophic fungal plant pathogen Ustilago maydis	Nature	2006			17080091	Insights from the genome of the biotrophic fungal plant pathogen Ustilago maydis.	2006			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	title_mismatch overlap=0.54; openalex_no_doi; manual_doi_correction
Nigrospora oryzae (Khuskia oryzae)	335854	fungi	335854.1	Balendres M A, Calabon M, Cortes A, et al. Nigrospora[M]//Compendium of Phytopathogenic Microbes in Agro-Ecology: Vol. 1 Fungi. Cham: Springer Nature Switzerland, 2025: 503-529.		10.1007/978-3-031-81770-0_22	Nigrospora	Compendium of Phytopathogenic Microbes in Agro-Ecology	2025				Biological activities and metabolic profile of crude extracts from two Nigrospora sp. isolates.	2026	0.077		AUTO_CANDIDATE_LOW	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Paraphaeosphaeria michotii / Sphaeria michotii	125373	fungi	125373.1	Ferreira L C, de Moura V A S, Resende Jr M F R, et al. Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease[J]. Phytobiomes Journal, 2025, 9(4): 620-635.		10.1094/pbiomes-12-24-0118-r	Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease	Phytobiomes Journal	2025								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Penicillium chrysogenum	5076	fungi	5076.1	Hill P. 1972. The Production of Penicillins in Soils and Seeds by Penicillium chrysogenum and the Role of Penicillin β-Lactamase in the Ecology of Soil Bacillus. Journal of General Microbiology, 70: 243–252.		10.1099/00221287-70-2-243	The Production of Penicillins in Soils and Seeds by Penicillium chrysogenum and the Role of Penicillin -Lactamase in the Ecology of Soil Bacillus	Journal of General Microbiology	1972			4624991	The production of penicillins in soils and seeds by penicillium chrysogenum and the role of penicillin -lactamase in the ecology of soil bacillus.	1972			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Penicillium cyclopium	60167	fungi	60167.1	Keromnes J, Thouvenot D. Role of penicillic acid in the phytotoxicity of Penicillium cyclopium and Penicillium canescens to the germination of corn seeds[J]. Applied and environmental microbiology, 1985, 49(3): 660-663.		10.1128/aem.49.3.660-663.1985	Role of Penicillic Acid in the Phytotoxicity of Penicillium cyclopium and Penicillium canescens to the Germination of Corn Seeds	Applied and Environmental Microbiology	1985			16346759	Role of Penicillic Acid in the Phytotoxicity of Penicillium cyclopium and Penicillium canescens to the Germination of Corn Seeds.	1985			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Penicillium cyclopium	60167	fungi	60167.2	Ekwomadu T I, Gopane R E, Mwanza M. Occurrence of filamentous fungi in maize destined for human consumption in South Africa[J]. Food science & nutrition, 2018, 6(4): 884-890.		10.1002/fsn3.561	Occurrence of filamentous fungi in maize destined for human consumption in South Africa	Food Science & Nutrition	2018			29983951	Occurrence of filamentous fungi in maize destined for human consumption in South Africa.	2018			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Penicillium funiculosum / Talaromyces funiculosus	28572	fungi	28572.1	Liu S, Wang J, Guo N, et al. Talaromyces funiculosus, a novel causal agent of maize ear rot and its sensitivity to fungicides[J]. Plant disease, 2021, 105(12): 3978-3984.		10.1094/pdis-04-21-0686-re	Talaromyces funiculosus, a Novel Causal Agent of Maize Ear Rot and Its Sensitivity to Fungicides	Plant Disease	2021			34156277	Talaromyces funiculosus, a Novel Causal Agent of Maize Ear Rot and Its Sensitivity to Fungicides.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Penicillium oxalicum	69781	fungi	69781.1	Han J X, Zhang S L, Shi X C, et al. First report of Penicillium oxalicum causing leaf blight on maize in China[J]. Plant Disease, 2023, 107(8): 2554.		10.1094/pdis-12-22-2965-pdn	First Report of Penicillium oxalicum Causing Leaf Blight on Maize in China	Plant Disease	2023								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Penicillium verrucosum	60171	fungi	60171.1	Wawrzyniak J, Waśkiewicz A. Ochratoxin A and citrinin production by Penicillium verrucosum on cereal solid substrates[J]. Food Additives & Contaminants: Part A, 2014, 31(1): 139-148.		10.1080/19440049.2013.861933	Ochratoxin A and citrinin production byPenicillium verrucosumon cereal solid substrates	Food Additives & Contaminants: Part A	2014			24199782	Ochratoxin A and citrinin production by Penicillium verrucosum on cereal solid substrates.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Phaeocytostroma ambiguum	935936	fungi	935936.1	Kimtai D K, Schmidt C, Matthiesen R L, et al. Pathogenicity and fungicide sensitivity of Phaeocytostroma ambiguum, a fungal species recovered from the crowns of corn plants[J]. Plant Disease, 2026 (ja).		10.1094/pdis-02-26-0383-re	Pathogenicity and fungicide sensitivity of Phaeocytostroma ambiguum , a fungal species recovered from the crowns of corn plants	Plant Disease	2026			42067984	Pathogenicity and fungicide sensitivity of Phaeocytostroma ambiguum, a fungal species recovered from the crowns of corn plants.	2026			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Phaeosphaeria herpotricha / Ophiosphaerella herpotricha	33175	fungi	33175.1	MCGEE D C. Maize Diseases. Saint Paul: The American Phytopathological Society Press, 1988.		10.1201/b19891-7	Diseases and Management of Maize	Crop Diseases and Their Management	2016				Pathogen Inoculation and Rating Strategies for Studying Maize Diseases.	2026	0.222		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-27	title_mismatch overlap=0.22; openalex_no_doi
Phaeosphaeria herpotricha / Ophiosphaerella herpotricha	33175	fungi	33175.2	王晓鸣等.		10.37155/2705-0653-0705-5	数字时代背景下邢台高等院校思想育人创新研究	教育理论与应用	2025								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-23	title_mismatch overlap=0.00; openalex_no_doi title_found_no_doi
Phaeosphaeria herpotricha / Ophiosphaerella herpotricha	33175	fungi	33175.3	玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.		10.11922/sciencedb.538	Land-Use Data Set Based on “Gaofen-1 Satellite” Data	Science Data Bank Datasets					Supervised consumption service use and high-frequency public injecting among people who inject drugs in Toronto: A cross-sectional analysis (2018-2020).	2026	0.043		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-24	title_mismatch overlap=0.00; openalex_no_doi
Phaeosphaeria maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Jibril S M, Hu Y, Yang K, et al. Microbiome Analysis of Area in Proximity to White Spot Lesions Reveals More Harmful Plant Pathogens in Maize[J]. Biomolecules, 2025, 15(2): 252.		10.3390/biom15020252	Microbiome Analysis of Area in Proximity to White Spot Lesions Reveals More Harmful Plant Pathogens in Maize	Biomolecules	2025			40001555	Microbiome Analysis of Area in Proximity to White Spot Lesions Reveals More Harmful Plant Pathogens in Maize.	2025			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Phaeosphaeria maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.2	Gonçalves R M, Figueiredo J E F, Pedro E S, et al. Etiology of Phaeosphaeria leaf spot disease of maize[J]. Journal of Plant Pathology, 2013: 559-569. Carson M L. Yield loss potential of Phaeosphaeria leaf spot of maize caused by Phaeosphaeria maydis in the United States[J]. Plant disease, 2005, 89(9): 986-988. | NCBI Taxonomy 未收录 Phaeosphaeria maydis		10.1094/pd-89-0986	Yield Loss Potential of Phaeosphaeria Leaf Spot of Maize Caused by Phaeosphaeria maydis in the United States	Plant Disease	2005			30786633	Yield Loss Potential of Phaeosphaeria Leaf Spot of Maize Caused by Phaeosphaeria maydis in the United States.	2005			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-25	strict_doi_match
Phialophora radicicola / Gaeumannomyces radicicola	1577605	fungi	1577605.1	McKeen W E. Phialophora radicicola Cain, a corn rootrot pathogen[J]. Canadian Journal of Botany, 1952, 30(3): 344-347.		10.1139/b52-026	PHIALOPHORA RADICICOLA CAIN, A CORN ROOTROT PATHOGEN	Canadian Journal of Botany	1952								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Phyllachora maydis	1825666	fungi	1825666.1	Solórzano J E, Cruz C D, Arenz B E, et al. Tar spot of corn: A diagnostic and methods guide[J]. Plant Health Progress, 2023, 24(1): 117-122.		10.1094/php-04-22-0033-dg	Tar Spot of Corn: A Diagnostic and Methods Guide	Plant Health Progress	2023								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	doi_corrected 10.1094/php-04-22-0033.1-dg -> 10.1094/php-04-22-0033-dg; removed_erratum_suffix; pmid_cleared_doi_changed
Physoderma maydis	276838	fungi	276838.1	Robertson A E, Jesse L, Munkvold G, et al. Physoderma brown spot and stalk rot of corn caused by Physoderma maydis in Iowa[J]. Plant Health Progress, 2015, 16(2): 90-92.		10.1094/php-br-15-0003	Physoderma Brown Spot and Stalk Rot of Corn Caused by Physoderma maydis in Iowa	Plant Health Progress	2015								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	doi_corrected 10.1094/php-br-15-0003ex -> 10.1094/php-br-15-0003; removed_ex_suffix; pmid_cleared_doi_changed
Physopella pallescens / Phakopsora pallescens	NOT_VERIFIED	fungi	NOT_VERIFIED.1	NYVALL R F. Field Crop Diseases. 3rd ed. Ames: Iowa State University Press, 1999 | NCBI Taxonomy 未收录 Phakopsora/Physopella pallescens		10.1007/978-1-4757-5221-2_7	Diseases of Field Beans	Field Crop Diseases Handbook	1989				The potential of optical canopy measurement for targeted control of field crop diseases.	2003	0.25		AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-28	title_mismatch overlap=0.17; openalex_no_doi
Physopella zeae	NOT_VERIFIED	fungi	NOT_VERIFIED.1	Nihei T H, Ferreira J M. Diallel analysis of maize inbred lines with emphasis on resistance to leaf diseases[J]. Pesquisa Agropecuária Brasileira, 2012, 47: 369-377. | NCBI Taxonomy 未收录 Phakopsora/Physopella zeae		10.1094/phyto-78-65	Diallel Analysis of Resistance of Eight Maize Inbred Lines toSphacelotheca reiliana	Phytopathology	1988								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-23	title_mismatch overlap=0.33; openalex_no_doi
Puccinia polysora	684837	fungi	684837.1	Sun Q, Li L, Guo F, et al. Southern corn rust caused by Puccinia polysor a Underw: a review[J]. Phytopathology Research, 2021, 3(1): 25.		10.1186/s42483-021-00102-0	Southern corn rust caused by Puccinia polysora Underw: a review	Phytopathology Research	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Puccinia sorghi	27349	fungi	27349.1	Olukolu B A, Tracy W F, Wisser R, et al. A genome-wide association study for partial resistance to maize common rust[J]. Phytopathology, 2016, 106(7): 745-751.		10.1094/phyto-11-15-0305-r	A Genome-Wide Association Study for Partial Resistance to Maize Common Rust	Phytopathology®	2016			27003507	A Genome-Wide Association Study for Partial Resistance to Maize Common Rust.	2016			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Pyricularia oryzae (Magnaporthe oryzae)	318829	fungi	318829.1	Pordel A, Ravel S, Charriat F, et al. Tracing the origin and evolutionary history of Pyricularia oryzae infecting maize and barnyard grass[J]. Phytopathology®, 2021, 111(1): 128-136.		10.1094/phyto-09-20-0423-r	Tracing the Origin and Evolutionary History of Pyricularia oryzae Infecting Maize and Barnyard Grass	Phytopathology®	2021			33100147	Tracing the Origin and Evolutionary History of Pyricularia oryzae Infecting Maize and Barnyard Grass.	2021			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Rhizoctonia solani (Thanatephorus cucumeris)	456999	fungi	456999.1	Pascual, Toda, Raymondo, et al. Characterization by conventional techniques and PCR of Rhizoctonia solani isolates causing banded leaf sheath blight in maize[J]. Plant Pathology, 2000, 49(1): 108-118.		10.1046/j.1365-3059.2000.00429.x	Characterization by conventional techniques and PCR of Rhizoctonia solani isolates causing banded leaf sheath blight in maize	Plant Pathology	2000								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Rhizopus arrhizus	64495	fungi	64495.1	Morales-Barron B M, Larios-Serrato V, Morales-García Y E, et al. Effect of Pseudomonas protegens EMM-1 Against Rhizopus oryzae in Interactions with Mexican Autochthonous Red Maize[J]. Life, 2025, 15(4): 554.		10.3390/life15040554	Effect of Pseudomonas protegens EMM-1 Against Rhizopus oryzae in Interactions with Mexican Autochthonous Red Maize	Life	2025			40283109	Effect of Pseudomonas protegens EMM-1 Against Rhizopus oryzae in Interactions with Mexican Autochthonous Red Maize.	2025			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Rhizopus stolonifer	4846	fungi	4846.1	Pscheidt JW, Ocamb CM. Corn (Zea mays)—Ear Rots. Pacific Northwest Plant Disease Management Handbook.		10.1016/b978-0-444-87468-9.50024-9	EPIDEMIOLOGY OF CORN (ZEA MAYS L.) EAR ROT CAUSED BY FUSARIUM spp.	Fusarium	1989								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-28	title_mismatch overlap=0.30; openalex_no_doi
Sarocladium strictum (Acremonium strictum)	5046	fungi	5046.1	Tagne A, Neergaard E, Hansen H J, et al. Studies of host—pathogen interaction between maize and Acremonium strictum from Cameroon[J]. European Journal of Plant Pathology, 2002, 108(2): 93-102.		10.1023/a:1015092030874	Studies of Host—pathogen Interaction Between Maize and Acremonium strictum From Cameroon	European Journal of Plant Pathology	2002								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-30	strict_doi_match
Sarocladium zeae/Acremonium zeae	1036732	fungi	1036732.1	Harish J, Prasannakumar M K, Venkateshbabu G, et al. Molecular and genomic insights into the pathogenicity of Sarocladium zeae causing maize stalk rot disease[J]. Microbiological Research, 2025, 296: 128146.		10.1016/j.micres.2025.128146	Molecular and genomic insights into the pathogenicity of Sarocladium zeae causing maize stalk rot disease	Microbiological Research	2025			40168814	Molecular and genomic insights into the pathogenicity of Sarocladium zeae causing maize stalk rot disease.	2025			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-24	strict_doi_match
Septoria maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.1	CIMMYT Maize Program. Maize Diseases: A Guide for Field Identification. 4th ed.		10.4060/cb6351en	Field guide for recognition, identification and management of pests and diseases of commercial tree species in Uganda		2021								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.38; openalex_no_doi
Septoria maydis	NOT_VERIFIED	fungi	NOT_VERIFIED.2	Mexico, D.F.: International Maize and Wheat Improvement Center (CIMMYT). 119 pp.2004. | NCBI Taxonomy 未收录 Septoria maydis		10.14218/mrp.2015.029	为何PubMed 可以检索 MEDLINE 未曾收录的文章？	Medical Research & Publication	2015								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-26	title_mismatch overlap=0.00; openalex_no_doi
Septoria zeina/Septoria zeae	NOT_VERIFIED	fungi	NOT_VERIFIED.1	QI P K, BAI J K, ZHU G X. Fungal Diseases of Cultured Plants of Jilin. Beijing: Science Press, 1966. (in Chinese) | NCBI Taxonomy 未收录 Septoria zeina (不同于 Cercospora zeina)		10.1016/b978-0-124-64450-2.x5001-3	Fungal Wilt Diseases of Plants		1981								AUTO_CANDIDATE_HIGH	yes	Incorrect	Gui-Feng Gao	2026-08-21	title_mismatch overlap=0.25; openalex_no_doi
Setophoma terrestris (Phoma terrestris/Pyrenochaeta terrestris )	798162	fungi	798162.1	Yoshida N. Seasonal dynamics of the pink root fungus (Setophoma terrestris) in rhizosphere soil: Effect of crop species and rotation[J]. Plant Pathology, 2022, 71(2): 361-372.		10.1111/ppa.13464	Seasonal dynamics of the pink root fungus ( Setophoma terrestris ) in rhizosphere soil: Effect of crop species and rotation	Plant Pathology	2021								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-22	strict_doi_match
Sporisorium reilianum (Sphacelotheca reiliana)	72558	fungi	72558.1	Ghareeb H, Becker A, Iven T, et al. Sporisorium reilianum infection changes inflorescence and branching architectures of maize[J]. Plant physiology, 2011, 156(4): 2037-2052.		10.1104/pp.111.179499	Sporisorium reilianumInfection Changes Inflorescence and Branching Architectures of Maize	Plant Physiology	2011			21653782	Sporisorium reilianum infection changes inflorescence and branching architectures of maize.	2011			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Stenocarpella macrospora	371126	fungi	371126.1	| McGee DC. (1988). Maize diseases: a reference source for seed technologists.		10.2307/3760093	Maize Diseases: A Reference Source for Seed Technologists	Mycologia	1989								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Stenocarpella maydis (Diplodia maydis)	238245	fungi	238245.1	Wicklow D T, Rogers K D, Dowd P F, et al. Bioactive metabolites from Stenocarpella maydis, a stalk and ear rot pathogen of maize[J]. Fungal biology, 2011, 115(2): 133-142.		10.1016/j.funbio.2010.11.003	Bioactive metabolites from Stenocarpella maydis, a stalk and ear rot pathogen of maize	Fungal Biology	2011			21315311	Bioactive metabolites from Stenocarpella maydis, a stalk and ear rot pathogen of maize.	2011			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Talaromyces radicus	228353	fungi	228353.1	王晓鸣, 王振营.		10.33142/hst.v1i1.14	新时期大数据智能电网构建研究	水电科技	2018								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-24	title_mismatch overlap=0.00; openalex_no_doi
Talaromyces radicus	228353	fungi	228353.2	中国玉米病虫草害图鉴.		10.37155/2811-0617-0412-47	玉米病虫害综合防治技术	农业科技与发展	2025								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-30	title_mismatch overlap=0.00; openalex_no_doi
Talaromyces radicus	228353	fungi	228353.3	北京: 中国农业出版社, 2018. WANG X M, WANG Z Y.		10.2139/ssrn.4484815	A Novel Method of Abnormal Event Location in Rdts Based on Graphsage		2023								AUTO_CANDIDATE_LOW	yes	Incorrect	Gui-Feng Gao	2026-08-29	title_mismatch overlap=0.00; openalex_no_doi
